hospital_id,pattern_type,symptom_pattern,symptoms,symptom_count,anomalous_occurrences,baseline_occurrences,current_occurrences,baseline_prevalence,current_prevalence,prevalence_growth,persistence_weeks,weekly_growth,emergence_score,alert_level,core_current_occurrences,subset_support_ratio,distinct_dates
H001,EXACT,Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,"['Dry Cough', 'Fatigue', 'Fever', 'Loss of Smell', 'Loss of Taste']",5,20,23,20,0.002448,0.004373,0.786088,5,1.0,93.58,CRITICAL,,,
H001,EXACT,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,"['Breathlessness', 'Dry Cough', 'Fatigue', 'Fever', 'Loss of Smell', 'Loss of Taste', 'Sore Throat']",7,46,84,46,0.008941,0.010057,0.12481,5,0.833333,71.24,HIGH,,,
H001,EXACT,Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,"['Dry Cough', 'Fever', 'Loss of Smell', 'Loss of Taste', 'Sore Throat']",5,16,27,16,0.002874,0.003498,0.217186,5,0.5,63.02,HIGH,,,
H001,CORE,Fever + Headache + Joint Pain + Muscle Pain + Retro-orbital Pain,"['Fever', 'Headache', 'Joint Pain', 'Muscle Pain', 'Retro-orbital Pain']",5,8,468,263,0.049814,0.057499,0.154278,5,0.211538,62.8,HIGH,263.0,0.06613,8.0
H001,CORE,Fever + Headache + Joint Pain + Retro-orbital Pain,"['Fever', 'Headache', 'Joint Pain', 'Retro-orbital Pain']",4,8,468,263,0.049814,0.057499,0.154278,5,0.211538,62.8,HIGH,263.0,0.06613,8.0
H001,CORE,Headache + Joint Pain + Muscle Pain + Retro-orbital Pain,"['Headache', 'Joint Pain', 'Muscle Pain', 'Retro-orbital Pain']",4,8,468,263,0.049814,0.057499,0.154278,5,0.211538,62.8,HIGH,263.0,0.128543,8.0
H001,CORE,Headache + Joint Pain + Retro-orbital Pain,"['Headache', 'Joint Pain', 'Retro-orbital Pain']",3,8,468,263,0.049814,0.057499,0.154278,5,0.211538,62.8,HIGH,263.0,0.128543,8.0
H001,CORE,Fever + Muscle Pain + Rash,"['Fever', 'Muscle Pain', 'Rash']",3,45,463,233,0.049282,0.05094,0.033655,5,0.227273,59.42,HIGH,233.0,0.058587,23.0
H001,EXACT,Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,"['Abdominal Pain', 'Diarrhoea', 'Fatigue', 'Fever', 'Headache', 'Loss of Appetite']",6,17,32,17,0.003406,0.003717,0.091188,4,0.666667,58.24,HIGH,,,
H001,EXACT,Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,"['Abdominal Pain', 'Dehydration', 'Diarrhoea', 'Fever', 'Nausea', 'Vomiting']",6,12,20,12,0.002129,0.002624,0.232401,5,0.5,57.47,HIGH,,,
H001,EXACT,Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,"['Abdominal Pain', 'Fatigue', 'Fever', 'Headache', 'Loss of Appetite']",5,20,38,20,0.004045,0.004373,0.081053,5,0.0,57.43,HIGH,,,
H001,EXACT,Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,"['Fatigue', 'Fever', 'Night Sweats', 'Persistent Cough', 'Weight Loss']",5,10,13,10,0.001384,0.002186,0.580001,5,0.0,57.4,HIGH,,,
H001,EXACT,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,"['Breathlessness', 'Dry Cough', 'Fatigue', 'Fever', 'Loss of Smell', 'Sore Throat']",6,4,5,4,0.000532,0.000875,0.643201,3,1.0,55.3,MODERATE,,,
H001,EXACT,Abdominal Pain + Fatigue + Fever + Loss of Appetite,"['Abdominal Pain', 'Fatigue', 'Fever', 'Loss of Appetite']",4,6,7,6,0.000745,0.001312,0.760572,3,0.5,54.32,MODERATE,,,
H001,EXACT,Fever + Headache + Muscle Pain + Rash + Vomiting,"['Fever', 'Headache', 'Muscle Pain', 'Rash', 'Vomiting']",5,3,1,3,0.000106,0.000656,5.162003,3,0.0,49.5,MODERATE,,,
H001,EXACT,Fever + Muscle Pain + Rash,"['Fever', 'Muscle Pain', 'Rash']",3,3,2,3,0.000213,0.000656,2.081001,3,0.0,49.5,MODERATE,,,
H001,EXACT,Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,"['Chest Pain', 'Fatigue', 'Fever', 'Night Sweats', 'Persistent Cough', 'Weight Loss']",6,8,19,8,0.002022,0.001749,-0.135158,4,2.0,47.0,LOW,,,
H001,EXACT,Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,"['Fever', 'Headache', 'Muscle Pain', 'Rash', 'Retro-orbital Pain', 'Vomiting']",6,9,13,9,0.001384,0.001968,0.422001,4,0.0,46.16,MODERATE,,,
H001,EXACT,Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,"['Abdominal Pain', 'Diarrhoea', 'Fever', 'Loss of Appetite']",4,2,2,2,0.000213,0.000437,1.054001,2,0.0,43.0,MODERATE,,,
H001,EXACT,Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,"['Fever', 'Joint Pain', 'Muscle Pain', 'Nausea', 'Rash', 'Vomiting']",6,2,2,2,0.000213,0.000437,1.054001,2,0.0,43.0,MODERATE,,,
H001,EXACT,Diarrhoea + Fever + Headache + Loss of Appetite,"['Diarrhoea', 'Fever', 'Headache', 'Loss of Appetite']",4,2,2,2,0.000213,0.000437,1.054001,1,0.0,38.0,LOW,,,
H001,EXACT,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,"['Bleeding', 'Fever', 'Headache', 'Joint Pain', 'Muscle Pain', 'Rash', 'Retro-orbital Pain', 'Vomiting']",8,4,6,4,0.000639,0.000875,0.369334,3,0.0,32.08,LOW,,,
H001,EXACT,Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,"['Fever', 'Headache', 'Joint Pain', 'Muscle Pain', 'Rash', 'Vomiting']",6,5,9,5,0.000958,0.001093,0.141112,3,0.0,26.73,LOW,,,
H001,EXACT,Abdominal Pain + Fever + Loss of Appetite,"['Abdominal Pain', 'Fever', 'Loss of Appetite']",3,2,3,2,0.000319,0.000437,0.369334,2,0.0,24.08,LOW,,,
H001,EXACT,Dry Cough + Fever + Loss of Smell + Loss of Taste,"['Dry Cough', 'Fever', 'Loss of Smell', 'Loss of Taste']",4,4,8,4,0.000852,0.000875,0.027,3,0.0,21.81,LOW,,,
H001,EXACT,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,"['Breathlessness', 'Dry Cough', 'Fatigue', 'Fever', 'Loss of Smell', 'Loss of Taste']",6,3,5,3,0.000532,0.000656,0.232401,2,0.0,21.47,LOW,,,
H001,EXACT,Fever + Muscle Pain + Rash + Retro-orbital Pain,"['Fever', 'Muscle Pain', 'Rash', 'Retro-orbital Pain']",4,3,5,3,0.000532,0.000656,0.232401,2,0.0,21.47,LOW,,,
H001,EXACT,Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,"['Fever', 'Headache', 'Muscle Pain', 'Rash', 'Retro-orbital Pain']",5,4,7,4,0.000745,0.000875,0.173715,2,0.0,21.21,LOW,,,
H001,EXACT,Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,"['Anaemia', 'Chills', 'Fatigue', 'Fever', 'Headache', 'Nausea', 'Sweating', 'Vomiting']",8,3,9,3,0.000958,0.000656,-0.315333,3,0.0,19.5,LOW,,,
H001,EXACT,Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,"['Breathlessness', 'Dry Cough', 'Fever', 'Loss of Smell', 'Loss of Taste', 'Sore Throat']",6,3,8,3,0.000852,0.000656,-0.22975,3,0.0,19.5,LOW,,,
