symptom_pattern,hospital_id,occurrences
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H001,2
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H002,3
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H003,4
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H004,5
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H005,7
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H006,5
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H007,1
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H008,2
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H009,6
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H010,2
Abdominal Pain + Dehydration + Diarrhoea + Fever + Vomiting,H003,1
Abdominal Pain + Dehydration + Diarrhoea + Fever + Vomiting,H008,1
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,H007,1
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,H008,1
Abdominal Pain + Dehydration + Diarrhoea + Vomiting,H002,1
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,H007,1
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,H008,1
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H001,4
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H004,3
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H006,5
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H009,1
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,H001,1
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,H003,1
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,H009,1
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H001,1
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H009,1
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H010,2
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,H007,1
Abdominal Pain + Fatigue + Fever + Headache,H007,2
Abdominal Pain + Fatigue + Fever + Headache,H008,1
Abdominal Pain + Fatigue + Fever + Headache,H009,1
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,H004,4
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,H006,4
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H001,2
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H004,1
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H010,1
