week,hospital_id,case_count,previous_cases,growth_rate,alert_level
2026-07-27,H001,307,,,GREEN
2026-08-03,H001,715,307.0,1.3289902280130292,RED
2026-07-27,H002,239,,,GREEN
2026-08-03,H002,646,239.0,1.702928870292887,RED
2026-07-27,H003,315,,,GREEN
2026-08-03,H003,786,315.0,1.4952380952380953,RED
2026-07-27,H004,311,,,GREEN
2026-08-03,H004,741,311.0,1.382636655948553,RED
2026-07-27,H005,285,,,GREEN
2026-08-03,H005,684,285.0,1.4,RED
2026-07-27,H006,206,,,GREEN
2026-08-03,H006,555,206.0,1.6941747572815533,RED
2026-07-27,H007,200,,,GREEN
2026-08-03,H007,469,200.0,1.345,RED
2026-07-27,H008,242,,,GREEN
2026-08-03,H008,555,242.0,1.2933884297520661,RED
2026-07-27,H009,182,,,GREEN
2026-08-03,H009,439,182.0,1.4120879120879122,RED
2026-07-27,H010,297,,,GREEN
2026-08-03,H010,671,297.0,1.2592592592592593,RED
