table_name,column_name,data_type,privacy_classification
patient_encounter,encounter_id,character varying,LINKABLE_IDENTIFIER
patient_encounter,patient_id,character varying,DIRECT_IDENTIFIER
patient_encounter,hospital_id,character varying,QUASI_IDENTIFIER
patient_encounter,visit_timestamp,timestamp without time zone,QUASI_IDENTIFIER
patient_encounter,age,integer,QUASI_IDENTIFIER
patient_encounter,gender,character varying,QUASI_IDENTIFIER
patient_encounter,occupation,character varying,QUASI_IDENTIFIER
patient_encounter,district,character varying,QUASI_IDENTIFIER
patient_encounter,state,character varying,QUASI_IDENTIFIER
patient_encounter,temperature,numeric,SENSITIVE_CLINICAL
patient_encounter,heart_rate,integer,SENSITIVE_CLINICAL
patient_encounter,respiratory_rate,integer,SENSITIVE_CLINICAL
patient_encounter,systolic_bp,integer,SENSITIVE_CLINICAL
patient_encounter,diastolic_bp,integer,SENSITIVE_CLINICAL
patient_encounter,spo2,integer,SENSITIVE_CLINICAL
patient_encounter,disease_id,character varying,SENSITIVE_CLINICAL
patient_encounter,severity_id,character varying,SENSITIVE_CLINICAL
patient_encounter,admission_status,character varying,SENSITIVE_CLINICAL
patient_encounter,visit_type,character varying,SENSITIVE_CLINICAL
patient_encounter,symptom_onset_days,integer,SENSITIVE_CLINICAL
patient_encounter,travel_history,boolean,SENSITIVE_CLINICAL
patient_encounter,vaccination_status,character varying,SENSITIVE_CLINICAL
patient_encounter,discharge_status,character varying,SENSITIVE_CLINICAL
patient_encounter,recovery_days,integer,SENSITIVE_CLINICAL
encounter_symptoms,encounter_symptom_id,integer,OTHER
encounter_symptoms,encounter_id,character varying,LINKABLE_IDENTIFIER
encounter_symptoms,symptom_id,character varying,SENSITIVE_CLINICAL
encounter_symptoms,symptom_text,character varying,SENSITIVE_CLINICAL
encounter_symptoms,symptom_source,character varying,SENSITIVE_CLINICAL
encounter_symptoms,is_primary,boolean,DECISION_METADATA
encounter_symptoms,onset_stage,character varying,SENSITIVE_CLINICAL
encounter_treatments,encounter_treatment_id,integer,OTHER
encounter_treatments,encounter_id,character varying,LINKABLE_IDENTIFIER
encounter_treatments,treatment_id,character varying,SENSITIVE_CLINICAL
encounter_treatments,treatment_sequence,integer,DECISION_METADATA
encounter_treatments,recommended_by_ai,boolean,DECISION_METADATA
encounter_treatments,administered,boolean,DECISION_METADATA
encounter_treatments,treatment_notes,text,SENSITIVE_CLINICAL
encounter_treatments,accepted_by_doctor,boolean,DECISION_METADATA
encounter_treatments,treatment_origin,character varying,DECISION_METADATA
encounter_complications,encounter_complication_id,integer,OTHER
encounter_complications,encounter_id,character varying,LINKABLE_IDENTIFIER
encounter_complications,complication_id,character varying,SENSITIVE_CLINICAL
encounter_complications,identified_timestamp,timestamp without time zone,SENSITIVE_CLINICAL
encounter_complications,resolved,boolean,DECISION_METADATA
encounter_complications,notes,text,SENSITIVE_CLINICAL
