symptom_pattern,encounter_count,mean_disease_similarity,mean_density_novelty,mean_cluster_novelty,mean_representation_novelty,max_representation_novelty,best_matching_disease_id,high_novelty_encounters,moderate_or_high_novelty_encounters,a7_evidence_status,best_matching_disease_id_a6,best_matching_disease,pathogen_type,inference_category,hospitals_affected,hospital_coverage_pct,total_anomalous_occurrences,mean_prevalence_growth,mean_persistence_weeks,cross_hospital_score,spread_level,known_disease_emerging_score,novelty_score,emergence_evidence_score,disease_inference_signal,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,clinical_support_category,temporal_emergence_score,final_emerging_score,confidence_score,signal_type,final_alert_level,supporting_lab_tests,supporting_imaging_findings,final_explanation,a7_raw_novelty_score,a7_novelty_score,a7_novelty_level,a7_interpretation
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,1042,0.7324256219645204,96.57806362370795,99.685421554687,98.13174258919746,100.0,D003,1042,1042,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_ATYPICAL,5,50.0,15,2.41670272364087,1.8,53.38,WIDESPREAD,53.33,17.52,53.85,37.461,57.67,72.12,49.34,41.63,92.71,MODERATE_CLINICAL_SUPPORT,56.78623839029938,51.15,97.78,ATYPICAL_KNOWN_DISEASE_EMERGENCE,MODERATE,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is associated with Dengue but contains atypical symptom characteristics. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 51.1/100.,98.13174258919747,69.05,MODERATE,MODERATE_NOVELTY_ATYPICAL_DISEASE_PATTERN
Fever + Joint Pain + Muscle Pain + Nausea + Rash,2126,0.7348390328452635,94.06670829881462,91.41829956736908,92.74250393309184,100.0,D003,2126,2126,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,INSUFFICIENT_EVIDENCE,5,50.0,13,1.5702297472447784,1.8,53.98,WIDESPREAD,51.1,18.46,53.89,32.632000000000005,56.94,72.45,47.88,39.91,92.99,MODERATE_CLINICAL_SUPPORT,43.60581181086585,47.31,93.14,INSUFFICIENT_EMERGING_EVIDENCE,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,Available evidence is insufficient for a strong emerging-disease interpretation. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 47.3/100.,92.74250393309185,54.66,LOW,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,85,0.6804138174397716,100.0,100.0,100.0,100.0,D003,85,85,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,8,80.0,27,0.5255230776059892,1.75,52.06,MULTI-HOSPITAL,47.75,12.32,47.87,28.662,62.17,70.45,62.75,46.59,92.94,STRONG_CLINICAL_SUPPORT,30.15246948353893,44.36,83.96,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,"The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.4/100.",100.0,35.81,LOW,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,170,0.7010508269634019,100.0,100.0,100.0,100.0,D003,170,170,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,6,60.0,18,0.0138869920498028,1.3333333333333333,28.73,WIDESPREAD,24.11,8.76,24.01,14.456,61.98,71.13,62.55,44.82,92.94,STRONG_CLINICAL_SUPPORT,18.643811578134805,31.46,77.78,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,"The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 31.5/100.",100.0,35.54,LOW,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,171,0.701171511229622,100.0,100.0,100.0,100.0,D003,171,171,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,4,40.0,14,-0.2323134265980356,1.5,22.25,WIDESPREAD,19.72,7.82,19.3,11.79,62.74,72.29,62.96,45.26,93.57,STRONG_CLINICAL_SUPPORT,18.552093080636126,29.02,75.98,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,"The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 29.0/100.",100.0,35.53,LOW,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,308,0.7187099529604123,100.0,100.0,100.0,100.0,D003,308,308,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,6,60.0,14,0.8255315875109757,1.6666666666666667,50.06,WIDESPREAD,47.47,14.99,49.49,28.684,62.63,72.7,63.2,43.83,93.83,STRONG_CLINICAL_SUPPORT,31.907289115522985,44.23,84.87,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,"The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.2/100.",100.0,35.3,LOW,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,150,0.7386872232712203,100.0,100.0,100.0,100.0,D002,150,150,SUFFICIENT_MATCHING_ENCOUNTERS,D002,Malaria,,KNOWN_DISEASE_EXPECTED,3,30.0,8,0.8943409640899169,1.3333333333333333,38.51,LIMITED,43.35,12.33,41.54,25.829,57.5,63.78,66.67,35.2,86.67,MODERATE_CLINICAL_SUPPORT,29.1459943704478,38.21,85.85,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Malaria. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 38.2/100.,100.0,35.03,LOW,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,133,0.746684102453949,100.0,100.0,100.0,100.0,D002,133,133,SUFFICIENT_MATCHING_ENCOUNTERS,D002,Malaria,,KNOWN_DISEASE_EXPECTED,6,60.0,14,0.1791115461667085,1.5,33.64,WIDESPREAD,30.09,9.91,29.44,17.989,57.7,64.64,65.29,36.09,87.22,MODERATE_CLINICAL_SUPPORT,21.238766273136758,33.26,81.84,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Malaria. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 33.3/100.,100.0,34.92,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Fever + Muscle Pain + Nausea + Rash + Vomiting,1292,0.7121537233230845,97.16584680407175,99.5551994571161,98.36052313059393,100.0,D003,1292,1292,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,7,3.158427643972173,1.6666666666666667,49.72,LIMITED,48.97,18.19,49.14,29.399,57.1,71.8,48.0,41.56,92.18,MODERATE_CLINICAL_SUPPORT,62.24899537398697,48.99,93.83,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 49.0/100.,98.36052313059392,34.87,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,1048,0.7066865692086364,96.64998692138808,99.45163902537597,98.05081297338204,100.0,D003,1048,1048,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,4,40.0,9,2.1343649366962936,1.5,50.26,WIDESPREAD,49.9,16.75,50.0,29.95,57.49,71.88,49.3,41.39,92.37,MODERATE_CLINICAL_SUPPORT,49.099940449341474,46.76,95.55,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 46.8/100.,98.05081297338202,34.85,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
