symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,hospitals_affected,hospital_coverage,cross_hospital_score,mean_persistence_weeks,mean_prevalence_growth,total_anomalous_occurrences,inference_category,alert_level,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,abnormal_lab_rate,supporting_lab_tests,supporting_imaging_findings,clinical_support_category,combined_surveillance_score,final_interpretation,explanation
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,Unknown,9,0.9,64.48,5.0,-0.0642,250,KNOWN_DISEASE_EXPECTED,LOW,65.78,63.81,75.53,57.63,86.07,23.71,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,65.07,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,Unknown,9,0.9,64.6,4.0,0.2709,112,KNOWN_DISEASE_EXPECTED,LOW,61.43,63.88,62.59,55.63,86.4,23.32,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,63.17,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,D005,COVID-19,Unknown,6,0.6,52.6,1.33,1.2592,14,KNOWN_DISEASE_EXPECTED,LOW,65.74,63.72,75.58,57.57,85.95,23.64,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,58.51,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,Unknown,8,0.8,55.62,3.88,0.0978,96,KNOWN_DISEASE_EXPECTED,LOW,61.4,63.79,62.59,55.68,86.18,23.45,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,58.22,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,Unknown,8,0.8,52.06,1.75,0.5255,27,KNOWN_DISEASE_EXPECTED,LOW,62.17,70.45,62.75,46.59,92.94,28.76,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,STRONG_CLINICAL_SUPPORT,56.61,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Dry Cough + Fever + Loss of Smell,D005,COVID-19,Unknown,2,0.2,53.02,2.5,7.5004,9,KNOWN_DISEASE_EXPECTED,LOW,60.59,63.77,60.27,55.25,86.22,23.34,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,56.43,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,D005,COVID-19,Unknown,5,0.5,47.98,2.0,0.7759,13,KNOWN_DISEASE_EXPECTED,LOW,65.65,63.59,75.39,57.65,85.7,23.8,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,55.93,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,D001,Dengue,Unknown,6,0.6,50.06,1.67,0.8255,14,KNOWN_DISEASE_EXPECTED,LOW,62.63,72.7,63.2,43.83,93.83,33.87,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,STRONG_CLINICAL_SUPPORT,55.72,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,Unknown,5,0.5,53.38,1.8,2.4167,15,KNOWN_DISEASE_ATYPICAL,MODERATE,57.67,72.12,49.34,41.63,92.71,34.23,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,55.31,ATYPICAL_PATTERN_WITH_CLINICAL_SUPPORT,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Joint Pain + Muscle Pain + Nausea + Rash,D001,Dengue,Unknown,5,0.5,53.98,1.8,1.5702,13,INSUFFICIENT_EVIDENCE,LOW,56.94,72.45,47.88,39.91,92.99,34.69,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,55.31,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
