hospital_id,symptom_pattern,baseline_occurrences,current_pattern_occurrences,current_anomalous_occurrences,baseline_prevalence,current_prevalence,prevalence_growth,baseline_daily_average,current_daily_average,current_weekly_average,current_week_count,peak_weekly_count,week_over_week_growth,baseline_relative_growth,persistence_weeks,emergence_score,alert_level
H001,Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,23,20,20,0.0024481106971793506,0.004372540445999125,0.7860877169635557,0.3770491803278688,0.6896551724137931,4.0,5,6,1.0,0.8290854572713645,5,93.58,CRITICAL
H001,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,84,46,46,0.008940926024481106,0.010056843025797988,0.12481000270681075,1.3770491803278688,1.5862068965517242,9.2,5,17,0.8333333333333334,0.15188834154351402,5,71.24,HIGH
H001,Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,27,16,16,0.0028738690792974985,0.0034980323567993005,0.21718570341220111,0.4426229508196721,0.5517241379310345,3.2,5,8,0.5,0.24648786717752236,5,63.02,HIGH
H001,Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,32,17,17,0.0034060670569451834,0.0037166593790992565,0.09118796458242241,0.5245901639344263,0.5862068965517241,4.25,4,5,0.6666666666666666,0.11745689655172399,4,58.24,HIGH
H001,Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,20,12,12,0.0021287919105907396,0.0026235242675994755,0.23240052470485367,0.32786885245901637,0.41379310344827586,2.4,5,4,0.5,0.26206896551724146,5,57.47,HIGH
H001,Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,38,20,20,0.004044704630122405,0.004372540445999125,0.0810530918463627,0.6229508196721312,0.6896551724137931,4.0,5,5,0.0,0.10707803992740475,5,57.43,HIGH
H001,Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,13,10,10,0.0013837147418839808,0.0021862702229995625,0.5800006726985301,0.21311475409836064,0.3448275862068966,2.0,5,3,-0.6666666666666666,0.6180371352785148,5,57.4,HIGH
H001,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,5,4,4,0.0005321979776476849,0.0008745080891998251,0.6432006996064715,0.08196721311475409,0.13793103448275862,1.3333333333333333,3,2,1.0,0.6827586206896553,2,50.3,MODERATE
H001,Abdominal Pain + Fatigue + Fever + Loss of Appetite,7,6,6,0.0007450771687067589,0.0013117621337997377,0.760572178149791,0.11475409836065574,0.20689655172413793,2.0,3,3,0.5,0.8029556650246304,2,49.32,MODERATE
H001,Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,19,8,8,0.0020223523150612027,0.0017490161783996502,-0.13515752652290974,0.3114754098360656,0.27586206896551724,2.0,4,3,2.0,-0.11433756805807628,4,47.0,MODERATE
