symptom_pattern,hospitals_affected,hospital_coverage,total_anomalous_occurrences,mean_current_prevalence,max_current_prevalence,mean_prevalence_growth,max_prevalence_growth,mean_persistence_weeks,max_persistence_weeks,mean_emergence_score,max_emergence_score,spread_level,cross_hospital_score,alert_level
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,9,0.9,112,0.0035459201140924934,0.005764796310530361,0.27085749760955696,1.128356013240162,4.0,5,53.92888888888889,93.58,MULTI-HOSPITAL,64.6,HIGH
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,9,0.9,250,0.007552533225877702,0.010319174466042717,-0.06417159592984971,0.4340427765778738,5.0,5,58.272222222222226,71.24,MULTI-HOSPITAL,64.48,HIGH
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,10,1.0,97,0.0027012457047470447,0.005380476556495004,0.07463315404951834,0.7454898946511734,3.7,5,45.263999999999996,78.36,MULTI-HOSPITAL,59.87,HIGH
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,8,0.8,96,0.003185929118026173,0.0037528146109582186,0.09779236716217314,0.5436866261073752,3.875,5,47.21125,67.7,MULTI-HOSPITAL,55.62,HIGH
Fever + Joint Pain + Muscle Pain + Nausea + Rash,5,0.5,13,0.0006854105556335403,0.0010007505629221916,1.5702297472447784,3.1200900675506626,1.8,3,39.260000000000005,51.0,WIDESPREAD,53.98,MODERATE
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,5,0.5,15,0.0008071428355459279,0.0011529592621060721,2.41670272364087,5.358570330514988,1.8,3,37.263999999999996,59.5,WIDESPREAD,53.38,MODERATE
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,10,1.0,59,0.00156753088525156,0.002451648052301825,-0.19754879151091478,0.25393625715064,3.5,5,30.73,61.12,MULTI-HOSPITAL,53.22,MODERATE
Dry Cough + Fever + Loss of Smell,2,0.2,9,0.001090120446106118,0.00167986561075114,7.500384887897985,13.940724742020638,2.5,3,56.75,70.5,LIMITED,53.02,MODERATE
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,6,0.6,14,0.0006244782451493734,0.0008745080891998251,1.2591621646218094,3.239046887009992,1.3333333333333333,2,30.883333333333336,50.3,WIDESPREAD,52.6,MODERATE
Chest Pain + Fatigue + Night Sweats + Persistent Cough + Weight Loss,2,0.2,6,0.0008402785990377253,0.0009606147934678194,1.6007919366450682,2.2015838732901365,2.5,3,54.5,59.5,LIMITED,52.35,MODERATE
