symptom_pattern,hospitals_affected,hospital_coverage,total_anomalous_occurrences,spread_level,cross_hospital_score,mean_current_prevalence,max_current_prevalence,mean_prevalence_growth,max_prevalence_growth,mean_persistence_weeks,max_persistence_weeks,mean_emergence_score,max_emergence_score,emergence_evidence_score,best_matching_disease_id,best_matching_disease,best_matching_pathogen_type,best_matching_disease_category,best_matching_outbreak_potential,disease_compatibility_score,symptom_coverage,frequency_adjusted_coverage,disease_profile_coverage,jaccard_similarity,mandatory_symptom_coverage,expected_symptom_fraction,atypical_symptom_fraction,unexplained_symptom_fraction,matched_symptoms,expected_symptoms,atypical_symptoms,unexplained_symptoms,second_matching_disease,second_matching_pathogen_type,second_disease_compatibility_score,known_disease_emerging_score,novelty_score,inference_category,alert_level,explanation
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,5,0.5,15,WIDESPREAD,53.38,0.000807,0.001153,2.4167,5.3586,1.8,3.0,37.26,59.5,53.85,D001,Dengue,Virus,Vector-borne,High,85.0,100.0,80.0,66.67,66.67,100.0,66.67,33.33,0.0,fever + headache + muscle pain + nausea + rash + vomiting,fever + headache + muscle pain + rash,nausea + vomiting,,Chikungunya,Virus,62.08,53.33,17.52,KNOWN_DISEASE_ATYPICAL,MODERATE,"The pattern partially matches Dengue (compatibility 85.0%), but 33.3% of observed symptoms are occasional or rare within the known disease profile. Atypical components include Nausea, Vomiting. The pattern affects 5 hospital(s) and has emergence evidence of 53.9/100. This warrants continued surveillance but does not establish a new pathogen."
Fever + Joint Pain + Muscle Pain + Nausea + Rash,5,0.5,13,WIDESPREAD,53.98,0.000685,0.001001,1.5702,3.1201,1.8,3.0,39.26,51.0,53.89,D001,Dengue,Virus,Vector-borne,High,82.92,100.0,85.0,55.56,55.56,100.0,80.0,20.0,0.0,fever + joint pain + muscle pain + nausea + rash,fever + joint pain + muscle pain + rash,nausea,,Chikungunya,Virus,75.35,51.1,18.46,INSUFFICIENT_EVIDENCE,LOW,"The pattern has insufficient evidence for a strong emerging-disease interpretation. The closest known disease is Dengue with compatibility of 82.9%, while the pattern affects 5 hospital(s). Continued monitoring can determine whether the signal becomes persistent or widespread."
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,4,0.4,9,WIDESPREAD,50.26,0.000606,0.000961,2.1344,5.3151,1.5,2.0,40.88,43.0,50.0,D001,Dengue,Virus,Vector-borne,High,85.0,100.0,80.0,66.67,66.67,100.0,66.67,33.33,0.0,fever + joint pain + muscle pain + nausea + rash + vomiting,fever + joint pain + muscle pain + rash,nausea + vomiting,,Chikungunya,Virus,66.04,49.9,16.75,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 85.0%). The known pathogen type is virus. Expected symptoms include Fever, Joint Pain, Muscle Pain, Rash. The pattern affects 4 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,6,0.6,14,WIDESPREAD,52.6,0.000624,0.000875,1.2592,3.239,1.33,2.0,30.88,50.3,52.88,D005,COVID-19,Virus,Respiratory,High,93.21,100.0,90.0,85.71,85.71,100.0,100.0,0.0,0.0,breathlessness + dry cough + fatigue + fever + loss of smell + sore throat,breathlessness + dry cough + fatigue + fever + loss of smell + sore throat,,,Influenza,Virus,63.35,49.81,13.63,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 93.2%). The known pathogen type is virus. Expected symptoms include Breathlessness, Dry Cough, Fatigue, Fever, Loss Of Smell, Sore Throat. The pattern affects 6 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,9,0.9,112,MULTI-HOSPITAL,64.6,0.003546,0.005765,0.2709,1.1284,4.0,5.0,53.93,93.58,63.59,D005,COVID-19,Virus,Respiratory,High,89.18,100.0,91.0,71.43,71.43,100.0,100.0,0.0,0.0,dry cough + fatigue + fever + loss of smell + loss of taste,dry cough + fatigue + fever + loss of smell + loss of taste,,,Influenza,Virus,56.2,49.51,17.59,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 89.2%). The known pathogen type is virus. Expected symptoms include Dry Cough, Fatigue, Fever, Loss Of Smell, Loss Of Taste. The pattern affects 9 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Chest Pain + Fatigue + Night Sweats + Persistent Cough + Weight Loss,2,0.2,6,LIMITED,52.35,0.00084,0.000961,1.6008,2.2016,2.5,3.0,54.5,59.5,51.87,D006,Tuberculosis,Bacteria,Respiratory,Medium,91.25,100.0,85.0,83.33,83.33,100.0,80.0,20.0,0.0,chest pain + fatigue + night sweats + persistent cough + weight loss,fatigue + night sweats + persistent cough + weight loss,chest pain,,Chikungunya,Virus,14.92,49.08,14.31,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Tuberculosis (compatibility 91.2%). The known pathogen type is bacteria. Expected symptoms include Fatigue, Night Sweats, Persistent Cough, Weight Loss. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Muscle Pain + Nausea + Rash + Vomiting,3,0.3,7,LIMITED,49.72,0.00059,0.000724,3.1584,5.2355,1.67,2.0,46.83,59.5,49.14,D001,Dengue,Virus,Vector-borne,High,81.42,100.0,79.0,55.56,55.56,100.0,60.0,40.0,0.0,fever + muscle pain + nausea + rash + vomiting,fever + muscle pain + rash,nausea + vomiting,,Chikungunya,Virus,54.42,48.97,18.19,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 81.4%). The known pathogen type is virus. Expected symptoms include Fever, Muscle Pain, Rash. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Headache + Joint Pain + Muscle Pain + Nausea,3,0.3,11,LIMITED,48.67,0.000899,0.001251,1.6267,4.1501,2.33,3.0,34.47,52.5,51.35,D001,Dengue,Virus,Vector-borne,High,82.92,100.0,85.0,55.56,55.56,100.0,80.0,20.0,0.0,fever + headache + joint pain + muscle pain + nausea,fever + headache + joint pain + muscle pain,nausea,,Chikungunya,Virus,75.35,48.68,17.96,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 82.9%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Joint Pain, Muscle Pain. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,3,0.3,7,LIMITED,50.05,0.0006,0.000919,2.1062,3.1395,2.0,3.0,43.5,49.5,50.39,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,85.31,100.0,81.25,66.67,66.67,100.0,75.0,25.0,0.0,abdominal pain + diarrhoea + fever + loss of appetite,abdominal pain + fever + loss of appetite,diarrhoea,,Acute Gastroenteritis,Mixed,59.82,48.64,16.69,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 85.3%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fever, Loss Of Appetite. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,10,1.0,97,MULTI-HOSPITAL,59.87,0.002701,0.00538,0.0746,0.7455,3.7,5.0,45.26,78.36,57.47,D008,Acute Gastroenteritis,Mixed,Food & Water-borne,High,96.25,100.0,85.0,100.0,100.0,100.0,83.33,16.67,0.0,abdominal pain + dehydration + diarrhoea + fever + nausea + vomiting,abdominal pain + dehydration + diarrhoea + nausea + vomiting,fever,,Typhoid Fever,Bacteria,49.17,47.81,13.18,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Acute Gastroenteritis (compatibility 96.2%). The known pathogen type is mixed. Expected symptoms include Abdominal Pain, Dehydration, Diarrhoea, Nausea, Vomiting. The pattern affects 10 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,8,0.8,27,MULTI-HOSPITAL,52.06,0.000979,0.001362,0.5255,2.1793,1.75,5.0,35.16,62.5,47.87,D001,Dengue,Virus,Vector-borne,High,93.89,100.0,75.56,100.0,100.0,100.0,66.67,33.33,0.0,bleeding + fever + headache + joint pain + muscle pain + nausea + rash + retro orbital pain + vomiting,fever + headache + joint pain + muscle pain + rash + retro orbital pain,bleeding + nausea + vomiting,,Chikungunya,Virus,60.83,47.75,12.32,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 93.9%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Joint Pain, Muscle Pain, Rash, Retro Orbital Pain. The pattern affects 8 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,6,0.6,14,WIDESPREAD,50.06,0.000659,0.001103,0.8255,2.1925,1.67,2.0,29.6,59.5,49.49,D001,Dengue,Virus,Vector-borne,High,88.69,100.0,81.43,77.78,77.78,100.0,85.71,14.29,0.0,bleeding + fever + headache + joint pain + muscle pain + rash + retro orbital pain,fever + headache + joint pain + muscle pain + rash + retro orbital pain,bleeding,,Chikungunya,Virus,72.62,47.47,14.99,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 88.7%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Joint Pain, Muscle Pain, Rash, Retro Orbital Pain. The pattern affects 6 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,4,0.4,10,WIDESPREAD,47.16,0.000633,0.001001,1.0148,3.1666,1.5,2.0,30.53,45.44,48.86,D001,Dengue,Virus,Vector-borne,High,82.92,100.0,85.0,55.56,55.56,100.0,80.0,20.0,0.0,fever + muscle pain + rash + retro orbital pain + vomiting,fever + muscle pain + rash + retro orbital pain,vomiting,,Chikungunya,Virus,54.42,47.3,17.46,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 82.9%). The known pathogen type is virus. Expected symptoms include Fever, Muscle Pain, Rash, Retro Orbital Pain. The pattern affects 4 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,3,0.3,9,LIMITED,47.35,0.00085,0.00109,4.0877,7.3596,2.0,3.0,34.5,51.0,49.51,D001,Dengue,Virus,Vector-borne,High,82.92,100.0,85.0,55.56,55.56,100.0,80.0,20.0,0.0,fever + joint pain + muscle pain + rash + vomiting,fever + joint pain + muscle pain + rash,vomiting,,Chikungunya,Virus,75.35,47.28,17.59,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 82.9%). The known pathogen type is virus. Expected symptoms include Fever, Joint Pain, Muscle Pain, Rash. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Diarrhoea + Fatigue + Fever + Loss of Appetite,3,0.3,6,LIMITED,48.07,0.000525,0.000612,1.0987,1.1344,1.67,2.0,41.33,43.0,48.38,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,85.31,100.0,81.25,66.67,66.67,100.0,75.0,25.0,0.0,diarrhoea + fatigue + fever + loss of appetite,fatigue + fever + loss of appetite,diarrhoea,,Influenza,Virus,41.36,47.17,16.29,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 85.3%). The known pathogen type is bacteria. Expected symptoms include Fatigue, Fever, Loss Of Appetite. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,9,0.9,250,MULTI-HOSPITAL,64.48,0.007553,0.010319,-0.0642,0.434,5.0,5.0,58.27,71.24,61.46,D005,COVID-19,Virus,Respiratory,High,97.32,100.0,89.29,100.0,100.0,100.0,100.0,0.0,0.0,breathlessness + dry cough + fatigue + fever + loss of smell + loss of taste + sore throat,breathlessness + dry cough + fatigue + fever + loss of smell + loss of taste + sore throat,,,Influenza,Virus,56.93,47.13,13.5,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 97.3%). The known pathogen type is virus. Expected symptoms include Breathlessness, Dry Cough, Fatigue, Fever, Loss Of Smell, Loss Of Taste. The pattern affects 9 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Diarrhoea + Fever + Vomiting,2,0.2,9,LIMITED,45.78,0.001149,0.001634,1.0109,2.1348,2.0,3.0,39.25,54.0,47.88,D008,Acute Gastroenteritis,Mixed,Food & Water-borne,High,81.25,100.0,85.0,50.0,50.0,100.0,66.67,33.33,0.0,diarrhoea + fever + vomiting,diarrhoea + vomiting,fever,,Typhoid Fever,Bacteria,55.3,46.96,18.01,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Acute Gastroenteritis (compatibility 81.2%). The known pathogen type is mixed. Expected symptoms include Diarrhoea, Vomiting. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Diarrhoea + Fever + Headache + Loss of Appetite,2,0.2,6,LIMITED,47.35,0.000662,0.000886,4.1665,7.2791,2.0,3.0,44.5,51.0,48.21,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,85.31,100.0,81.25,66.67,66.67,100.0,75.0,25.0,0.0,diarrhoea + fever + headache + loss of appetite,fever + headache + loss of appetite,diarrhoea,,Influenza,Virus,41.36,46.48,16.25,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 85.3%). The known pathogen type is bacteria. Expected symptoms include Fever, Headache, Loss Of Appetite. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Fever + Loss of Appetite,3,0.3,9,LIMITED,50.29,0.000718,0.000966,1.0669,1.7713,2.33,3.0,39.86,51.0,51.79,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,82.5,100.0,90.0,50.0,50.0,100.0,100.0,0.0,0.0,abdominal pain + fever + loss of appetite,abdominal pain + fever + loss of appetite,,,Acute Gastroenteritis,Mixed,44.05,45.92,18.23,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 82.5%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fever, Loss Of Appetite. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Dry Cough + Fever + Loss of Smell,2,0.2,9,LIMITED,53.02,0.00109,0.00168,7.5004,13.9407,2.5,3.0,56.75,70.5,52.44,D005,COVID-19,Virus,Respiratory,High,81.61,100.0,95.0,42.86,42.86,100.0,100.0,0.0,0.0,dry cough + fever + loss of smell,dry cough + fever + loss of smell,,,Influenza,Virus,57.86,44.98,18.76,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 81.6%). The known pathogen type is virus. Expected symptoms include Dry Cough, Fever, Loss Of Smell. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Headache + Muscle Pain + Rash + Vomiting,3,0.3,8,LIMITED,43.65,0.000608,0.000724,2.7803,5.162,1.33,2.0,31.06,43.0,45.7,D001,Dengue,Virus,Vector-borne,High,82.92,100.0,85.0,55.56,55.56,100.0,80.0,20.0,0.0,fever + headache + muscle pain + rash + vomiting,fever + headache + muscle pain + rash,vomiting,,Chikungunya,Virus,71.26,44.43,16.83,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 82.9%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Muscle Pain, Rash. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
