symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,inference_category,hospitals_affected,hospital_coverage_pct,total_anomalous_occurrences,mean_prevalence_growth,mean_persistence_weeks,cross_hospital_score,spread_level,known_disease_emerging_score,novelty_score,emergence_evidence_score,disease_inference_signal,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,clinical_support_category,temporal_emergence_score,final_emerging_score,confidence_score,signal_type,final_alert_level,supporting_lab_tests,supporting_imaging_findings,final_explanation
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,9,90.0,250,-0.0641715959298497,5.0,64.48,MULTI-HOSPITAL,47.13,13.5,61.46,29.711000000000002,65.78,63.81,75.53,57.63,86.07,STRONG_CLINICAL_SUPPORT,49.16666666666667,53.05,90.95,WIDESPREAD_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is observed across multiple hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 53.0/100."
Dry Cough + Fever + Loss of Smell,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,2,20.0,9,7.500384887897985,2.5,53.02,LIMITED,44.98,18.76,52.44,27.733999999999998,60.59,63.77,60.27,55.25,86.22,STRONG_CLINICAL_SUPPORT,67.9177997322304,51.57,92.7,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 51.6/100."
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,9,90.0,112,0.2708574976095569,4.0,64.6,MULTI-HOSPITAL,49.51,17.59,63.59,31.114,61.43,63.88,62.59,55.63,86.4,STRONG_CLINICAL_SUPPORT,44.507509098989146,51.42,89.42,WIDESPREAD_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is observed across multiple hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 51.4/100."
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_ATYPICAL,5,50.0,15,2.41670272364087,1.8,53.38,WIDESPREAD,53.33,17.52,53.85,37.461,57.67,72.12,49.34,41.63,92.71,MODERATE_CLINICAL_SUPPORT,56.78623839029938,51.15,97.78,ATYPICAL_KNOWN_DISEASE_EMERGENCE,MODERATE,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is associated with Dengue but contains atypical symptom characteristics. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 51.1/100.
Fever + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,7,3.158427643972173,1.6666666666666667,49.72,LIMITED,48.97,18.19,49.14,29.399,57.1,71.8,48.0,41.56,92.18,MODERATE_CLINICAL_SUPPORT,62.24899537398697,48.99,93.83,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 49.0/100.
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,9,4.087746998430919,2.0,47.35,LIMITED,47.28,17.59,49.51,28.591,56.84,71.88,47.95,40.44,92.35,MODERATE_CLINICAL_SUPPORT,65.00113306556374,48.56,91.34,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 48.6/100.
Fever + Joint Pain + Muscle Pain + Nausea + Rash,D001,Dengue,,INSUFFICIENT_EVIDENCE,5,50.0,13,1.5702297472447784,1.8,53.98,WIDESPREAD,51.1,18.46,53.89,32.632000000000005,56.94,72.45,47.88,39.91,92.99,MODERATE_CLINICAL_SUPPORT,43.60581181086585,47.31,93.14,INSUFFICIENT_EMERGING_EVIDENCE,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,Available evidence is insufficient for a strong emerging-disease interpretation. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 47.3/100.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,6,60.0,14,1.2591621646218094,1.3333333333333333,52.6,WIDESPREAD,49.81,13.63,52.88,30.193,65.74,63.72,75.58,57.57,85.95,STRONG_CLINICAL_SUPPORT,36.46730332774104,47.06,85.63,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 47.1/100."
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,4,40.0,9,2.1343649366962936,1.5,50.26,WIDESPREAD,49.9,16.75,50.0,29.95,57.49,71.88,49.3,41.39,92.37,MODERATE_CLINICAL_SUPPORT,49.099940449341474,46.76,95.55,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 46.8/100.
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,8,80.0,96,0.0977923671621731,3.875,55.62,MULTI-HOSPITAL,41.41,15.81,54.72,26.177,61.4,63.79,62.59,55.68,86.18,STRONG_CLINICAL_SUPPORT,40.629734435619746,46.71,89.5,WIDESPREAD_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is observed across multiple hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 46.7/100."
