symptom_pattern,hospital_id,occurrences,current_prevalence,prevalence_growth,persistence_weeks,emergence_score
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H001,12,0.0026235242675994755,0.23240052470485367,5,57.47
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H002,6,0.0016344320348678834,-0.37303187142467986,3,39.0
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H003,10,0.0022148394241417496,-0.17209302325581396,4,35.0
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H004,9,0.0021598272138228943,-0.23161987041036708,3,36.0
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H005,11,0.0027520640480360272,0.030022516887665794,4,37.4
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H006,5,0.001601024655779699,-0.298324260860284,3,37.5
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H007,7,0.0025744759102611253,0.06417800662008091,4,32.43
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H008,8,0.002449479485609308,0.19044703000612362,2,27.71
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H009,14,0.005380476556495004,0.7454898946511734,4,78.36
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,H010,15,0.003622313450857281,0.5588625935764309,5,71.77
Abdominal Pain + Dehydration + Diarrhoea + Fever + Vomiting,H005,2,0.0005003752814610958,3.1200900675506626,1,38.0
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,H002,9,0.002451648052301825,1.6870062653228004,3,66.0
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,H003,4,0.0008859357696566999,-0.6236786469344608,2,31.0
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,H002,2,0.0005448106782892945,-0.1640424952329065,2,13.0
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,H008,2,0.000612369871402327,0.3888548683404777,2,24.67
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H001,17,0.0037166593790992565,0.09118796458242241,4,58.24
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H002,18,0.00490329610460365,0.5047235085807682,5,74.64
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H003,12,0.0026578073089701,-0.2238372093023255,2,28.0
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H004,10,0.0023998080153587713,-0.33300335973122147,5,55.0
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H006,12,0.0038424591738712775,-0.1289542548610421,1,38.0
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H007,10,0.003677822728944465,0.06417800662008098,4,36.93
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H008,12,0.003674219228413962,0.13633580136948173,5,54.59
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H009,8,0.0030745580322828594,-0.15219062259800153,2,22.0
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,H002,3,0.0008172160174339417,0.04494688095886678,1,10.85
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,H003,6,0.00132890365448505,0.7740863787375416,4,52.22
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,H008,2,0.000612369871402327,-0.4047764849969382,1,8.0
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,H009,2,0.0007686395080707148,3.239046887009992,1,38.0
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,H010,3,0.0007244626901714562,-0.37645496256942773,1,24.5
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H001,3,0.0006558810668998689,-0.31533304183063693,2,14.5
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H003,6,0.00132890365448505,0.37984496124031014,2,30.4
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H004,3,0.0007199424046076314,-0.4178938412199752,1,24.5
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H006,2,0.0006404098623118795,1.1050272174191482,1,38.0
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H007,2,0.000735564545788893,0.06417800662008089,2,14.93
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H009,3,0.0011529592621060721,1.119523443504996,2,44.5
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,H010,2,0.0004829751267809708,0.3856556387346051,1,19.57
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,H001,2,0.00043725404459991256,1.0540008745080893,2,43.0
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,H003,2,0.00044296788482834997,3.139534883720931,1,38.0
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,H008,3,0.0009185548071034905,2.124923453766075,3,49.5
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,H001,20,0.004372540445999125,0.0810530918463627,5,57.43
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,H002,13,0.003541269408880414,0.08674475619722148,5,47.1
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,H004,9,0.0021598272138228943,-0.26117295231766063,3,38.5
