alert_id,week,symptom_id,symptom_name,alert_level,alert_priority,alert_status,risk_score,primary_drivers,weak_or_missing_evidence,weighted_evidence_breakdown,detailed_explanation,recommended_action
ALT-20260824-S011-YELLOW-0325,2026-08-24,S011,Chest Pain,YELLOW,WATCH,WATCH,40.32,Severity burden,Temporal acceleration; Persistence; Spatial propagation,severity=13.30; anomaly=7.23; baseline=7.07; objective_a=4.72; persistence=4.50; spatial=1.95; temporal=1.55,"Alert level: YELLOW. Composite risk score: 40.3. Primary risk drivers: Severity burden. Weaker or missing corroboration: Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.","Review the affected symptom/disease trend, verify recent clinical records, and continue enhanced surveillance."
ALT-20260824-S027-YELLOW-0326,2026-08-24,S027,Dehydration,YELLOW,WATCH,WATCH,38.19,Severity burden; Historical baseline,Temporal acceleration; Persistence; Spatial propagation,severity=11.37; baseline=9.07; anomaly=6.76; objective_a=4.81; persistence=4.50; spatial=1.65; temporal=0.03,"Alert level: YELLOW. Composite risk score: 38.2. Primary risk drivers: Severity burden, Historical baseline. Weaker or missing corroboration: Temporal acceleration, Persistence, Spatial propagation. The associated disease is D008.","Review the affected symptom/disease trend, verify recent clinical records, and continue enhanced surveillance."
ALT-20260824-S007-YELLOW-0327,2026-08-24,S007,Persistent Cough,YELLOW,WATCH,WATCH,35.32,Severity burden,Historical baseline; Temporal acceleration; Persistence; Spatial propagation,severity=13.30; anomaly=5.89; objective_a=4.72; persistence=4.50; baseline=4.46; temporal=2.00; spatial=0.45,"Alert level: YELLOW. Composite risk score: 35.3. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.","Review the affected symptom/disease trend, verify recent clinical records, and continue enhanced surveillance."
ALT-20260824-S023-GREEN-0328,2026-08-24,S023,Weight Loss,GREEN,ROUTINE,ROUTINE,31.1,Severity burden,Historical baseline; Temporal acceleration; Persistence; Spatial propagation,severity=13.30; anomaly=5.66; objective_a=4.72; persistence=4.50; baseline=2.62; temporal=0.30; spatial=0.00,"Alert level: GREEN. Composite risk score: 31.1. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",Continue routine surveillance and periodic review.
ALT-20260824-S024-GREEN-0329,2026-08-24,S024,Night Sweats,GREEN,ROUTINE,ROUTINE,25.95,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=13.30; objective_a=4.72; anomaly=4.69; temporal=2.00; baseline=0.71; persistence=0.53; spatial=0.00,"Alert level: GREEN. Composite risk score: 25.9. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",Continue routine surveillance and periodic review.
ALT-20260824-S021-GREEN-0330,2026-08-24,S021,Abdominal Pain,GREEN,ROUTINE,ROUTINE,25.89,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=11.37; anomaly=5.16; objective_a=4.81; baseline=2.01; temporal=2.00; persistence=0.53; spatial=0.00,"Alert level: GREEN. Composite risk score: 25.9. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D008.",Continue routine surveillance and periodic review.
ALT-20260824-S022-GREEN-0331,2026-08-24,S022,Loss of Appetite,GREEN,ROUTINE,ROUTINE,25.56,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=13.17; objective_a=4.73; anomaly=4.50; temporal=2.50; persistence=0.67; baseline=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 25.6. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D007.",Continue routine surveillance and periodic review.
ALT-20260824-S017-GREEN-0332,2026-08-24,S017,Rash,GREEN,ROUTINE,ROUTINE,25.21,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=5.74; anomaly=4.81; temporal=2.41; baseline=0.93; persistence=0.64; spatial=0.00,"Alert level: GREEN. Composite risk score: 25.2. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
ALT-20260824-S010-GREEN-0333,2026-08-24,S010,Breathlessness,GREEN,ROUTINE,ROUTINE,23.78,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=9.53; objective_a=5.51; anomaly=4.82; temporal=2.00; baseline=1.38; persistence=0.53; spatial=0.00,"Alert level: GREEN. Composite risk score: 23.8. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D005.",Continue routine surveillance and periodic review.
ALT-20260824-S025-GREEN-0334,2026-08-24,S025,Bleeding,GREEN,ROUTINE,ROUTINE,23.53,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=4.67; anomaly=4.13; temporal=1.92; baseline=1.61; persistence=0.51; spatial=0.00,"Alert level: GREEN. Composite risk score: 23.5. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
