week,symptom_id,symptom_name,hospitals_observed,total_cases,average_cases_per_hospital,average_growth_rate,median_growth_rate,average_incidence_proportion,hospitals_increasing,hospitals_orange_red,spread_proportion,increasing_hospital_proportion,cross_hospital_alert,potential_outbreak_signal
2026-06-01,S001,Fever,10,7534,753.4,,,0.8572487079514726,0,0,1.0,0.0,GREEN,False
2026-06-01,S002,Headache,10,3932,393.2,,,0.4471179529670444,0,0,1.0,0.0,GREEN,False
2026-06-01,S003,Fatigue,10,1822,182.2,,,0.20889113511053425,0,0,1.0,0.0,GREEN,False
2026-06-01,S004,Chills,10,1154,115.4,,,0.1325186705755282,0,0,1.0,0.0,GREEN,False
2026-06-01,S005,Sweating,10,1154,115.4,,,0.1325186705755282,0,0,1.0,0.0,GREEN,False
2026-06-01,S006,Dry Cough,10,3557,355.7,,,0.4042473658774662,0,0,1.0,0.0,GREEN,False
2026-06-01,S007,Persistent Cough,10,269,26.9,,,0.030772604926277793,0,0,1.0,0.0,GREEN,False
2026-06-01,S008,Sore Throat,10,2293,229.3,,,0.260892847391837,0,0,1.0,0.0,GREEN,False
2026-06-01,S009,Runny Nose,10,1348,134.8,,,0.1526335730968693,0,0,1.0,0.0,GREEN,False
2026-06-01,S010,Breathlessness,10,105,10.5,,,0.012154697594909999,0,0,1.0,0.0,GREEN,False
2026-06-01,S012,Loss of Taste,10,276,27.6,,,0.03193271799372361,0,0,1.0,0.0,GREEN,False
2026-06-01,S013,Loss of Smell,10,301,30.1,,,0.03522266728151348,0,0,1.0,0.0,GREEN,False
2026-06-01,S014,Muscle Pain,10,3532,353.2,,,0.399259036957466,0,0,1.0,0.0,GREEN,False
2026-06-01,S015,Joint Pain,10,1489,148.9,,,0.16898009908243689,0,0,1.0,0.0,GREEN,False
2026-06-01,S016,Retro-orbital Pain,10,1209,120.9,,,0.1372154052831646,0,0,1.0,0.0,GREEN,False
2026-06-01,S017,Rash,10,496,49.6,,,0.05631046149424347,0,0,1.0,0.0,GREEN,False
2026-06-01,S018,Nausea,10,1214,121.4,,,0.13725201374389268,0,0,1.0,0.0,GREEN,False
2026-06-01,S019,Vomiting,10,1622,162.2,,,0.18465765693132913,0,0,1.0,0.0,GREEN,False
2026-06-01,S020,Diarrhoea,10,1266,126.6,,,0.14394690766831714,0,0,1.0,0.0,GREEN,False
2026-06-01,S021,Abdominal Pain,10,872,87.2,,,0.09944541719888952,0,0,1.0,0.0,GREEN,False
2026-06-01,S022,Loss of Appetite,10,316,31.6,,,0.03591586474421308,0,0,1.0,0.0,GREEN,False
2026-06-01,S023,Weight Loss,10,40,4.0,,,0.00470312604196121,0,0,1.0,0.0,GREEN,False
2026-06-01,S024,Night Sweats,10,91,9.1,,,0.01037449198325718,0,0,1.0,0.0,GREEN,False
2026-06-01,S025,Bleeding,10,26,2.6,,,0.00288376662146797,0,0,1.0,0.0,GREEN,False
2026-06-01,S026,Anaemia,10,21,2.1,,,0.00247380756254925,0,0,1.0,0.0,GREEN,False
2026-06-01,S011,Chest Pain,9,20,2.2222222222222223,,,0.002651964881607267,0,0,0.9,0.0,GREEN,False
2026-06-01,S027,Dehydration,9,30,3.3333333333333335,,,0.0037674941478150112,0,0,0.9,0.0,GREEN,False
2026-06-08,S026,Anaemia,10,26,2.6,59.16666666666667,50.0,0.00299164765126504,6,6,1.0,0.6,RED,True
2026-06-08,S027,Dehydration,9,50,5.555555555555555,211.25,100.0,0.006061557495686089,6,5,0.9,0.6,RED,True
2026-06-08,S025,Bleeding,10,31,3.1,53.333333333333336,29.166666666666664,0.00348351946474986,5,4,1.0,0.5,ORANGE,True
2026-06-08,S023,Weight Loss,10,39,3.9,45.76190476190476,0.0,0.00430353626636769,3,3,1.0,0.3,ORANGE,True
2026-06-08,S007,Persistent Cough,10,275,27.5,7.66022153874051,3.7006578947368416,0.031662267949337256,4,0,1.0,0.4,ORANGE,False
2026-06-08,S012,Loss of Taste,10,266,26.6,7.454150372443546,-10.338680926916222,0.02986965232111751,3,2,1.0,0.3,ORANGE,False
2026-06-08,S013,Loss of Smell,10,282,28.2,4.863604626926266,-1.7801857585139325,0.0317692568229205,3,2,1.0,0.3,ORANGE,False
2026-06-08,S010,Breathlessness,10,99,9.9,13.274531024531026,-0.5555555555555554,0.01118047744206816,2,2,1.0,0.2,YELLOW,False
2026-06-08,S022,Loss of Appetite,10,336,33.6,9.025441585541737,4.612937433722163,0.03860013561010725,2,1,1.0,0.2,YELLOW,False
2026-06-08,S024,Night Sweats,10,93,9.3,7.425282234105765,4.545454545454546,0.01057666103453284,2,2,1.0,0.2,YELLOW,False
2026-06-08,S011,Chest Pain,8,19,2.375,23.809523809523814,0.0,0.0026517090870577876,2,2,0.8,0.2,YELLOW,False
2026-06-08,S009,Runny Nose,10,1442,144.2,7.433199562312143,7.246636414298225,0.16350840661328614,0,0,1.0,0.0,GREEN,False
2026-06-08,S015,Joint Pain,10,1535,153.5,4.963545979283408,3.497672450275074,0.1767308860070894,0,0,1.0,0.0,GREEN,False
2026-06-08,S006,Dry Cough,10,3657,365.7,2.8395203814515138,1.659809603892009,0.4153252494817369,0,0,1.0,0.0,GREEN,False
2026-06-08,S008,Sore Throat,10,2334,233.4,1.8332869201699793,4.80979308572163,0.2646050634543318,0,0,1.0,0.0,GREEN,False
2026-06-08,S014,Muscle Pain,10,3517,351.7,1.1722434440023082,-3.23778157740725,0.40307616598701745,0,0,1.0,0.0,GREEN,False
2026-06-08,S001,Fever,10,7528,752.8,-0.09816031554579961,0.2033365301897121,0.8584327642474161,0,0,1.0,0.0,GREEN,False
2026-06-08,S020,Diarrhoea,10,1259,125.9,-0.2434133087369287,-1.0309278350515465,0.14363540142335388,0,0,1.0,0.0,GREEN,False
2026-06-08,S021,Abdominal Pain,10,861,86.1,-0.8139916001347537,0.0,0.09828483584173567,0,0,1.0,0.0,GREEN,False
2026-06-08,S018,Nausea,10,1169,116.9,-0.8447562224660039,-8.294520547945206,0.13374253657639482,1,0,1.0,0.1,GREEN,False
2026-06-08,S017,Rash,10,475,47.5,-1.7410110098404528,1.5625,0.054699872176305786,0,0,1.0,0.0,GREEN,False
2026-06-08,S019,Vomiting,10,1576,157.6,-2.623033909442523,-3.570127504553734,0.17978698938682758,0,0,1.0,0.0,GREEN,False
2026-06-08,S016,Retro-orbital Pain,10,1153,115.3,-2.8405395202927735,-3.5525321239606953,0.13237490916378344,0,0,1.0,0.0,GREEN,False
2026-06-08,S002,Headache,10,3771,377.1,-3.622514244961122,-5.430560629537715,0.4310588116330882,0,0,1.0,0.0,GREEN,False
2026-06-08,S003,Fatigue,10,1719,171.9,-5.694691014139049,-7.385569716729475,0.1969987622750632,0,0,1.0,0.0,GREEN,False
2026-06-08,S004,Chills,10,1068,106.8,-7.8767744415798715,-4.910790873220106,0.12105435361982908,0,0,1.0,0.0,GREEN,False
2026-06-08,S005,Sweating,10,1068,106.8,-7.8767744415798715,-4.910790873220106,0.12105435361982908,0,0,1.0,0.0,GREEN,False
2026-06-15,S023,Weight Loss,10,52,5.2,75.38888888888889,100.0,0.00573673719368993,7,6,1.0,0.7,RED,True
2026-06-15,S011,Chest Pain,10,27,2.7,53.333333333333336,16.666666666666664,0.00300830125083703,5,4,1.0,0.5,ORANGE,True
2026-06-15,S024,Night Sweats,10,108,10.8,33.33050283050283,38.18181818181819,0.01222643722788584,6,3,1.0,0.6,ORANGE,True
2026-06-15,S021,Abdominal Pain,10,973,97.3,14.423737808133495,16.821946169772257,0.11144540683686048,3,0,1.0,0.3,ORANGE,False
2026-06-15,S027,Dehydration,10,47,4.7,13.05952380952381,-24.285714285714285,0.00533095941914576,3,2,1.0,0.3,ORANGE,False
2026-06-15,S010,Breathlessness,10,92,9.2,8.771561771561773,-6.25,0.01068359869814838,3,2,1.0,0.3,ORANGE,False
2026-06-15,S017,Rash,10,483,48.3,2.7240158527226073,0.25917065390749616,0.05487545670664473,3,0,1.0,0.3,ORANGE,False
2026-06-15,S026,Anaemia,8,23,2.875,26.25,33.33333333333333,0.0029962369627308375,4,4,0.8,0.4,ORANGE,True
2026-06-15,S025,Bleeding,7,27,3.857142857142857,70.47619047619047,66.66666666666666,0.0045399493751468,4,4,0.7,0.4,ORANGE,True
2026-06-15,S007,Persistent Cough,10,290,29.0,9.289577424491217,6.89655172413793,0.03336762442650127,2,1,1.0,0.2,YELLOW,False
2026-06-15,S004,Chills,10,1111,111.1,6.811105742532111,-0.6171025565677343,0.12758051152457509,2,0,1.0,0.2,YELLOW,False
2026-06-15,S005,Sweating,10,1111,111.1,6.811105742532111,-0.6171025565677343,0.12758051152457509,2,0,1.0,0.2,YELLOW,False
2026-06-15,S012,Loss of Taste,10,262,26.2,3.9890239265239273,10.476190476190476,0.0297394747609459,2,1,1.0,0.2,YELLOW,False
2026-06-15,S022,Loss of Appetite,10,343,34.3,3.5712889419461953,0.0657894736842104,0.03942162725672466,2,0,1.0,0.2,YELLOW,False
