week,disease_id,disease_affected_hospitals,disease_newly_affected_hospitals,disease_total_cases,disease_average_growth
2026-06-01,D001,0,0,1830,
2026-06-01,D002,0,0,1154,
2026-06-01,D003,0,0,303,
2026-06-01,D004,0,0,2182,
2026-06-01,D005,0,0,1375,
2026-06-01,D006,0,0,269,
2026-06-01,D007,0,0,482,
2026-06-01,D008,0,0,1197,
2026-06-08,D001,0,0,1765,-0.02162643862328556
2026-06-08,D002,0,0,1068,-0.07876774441579867
2026-06-08,D003,0,0,330,0.16272640580780112
2026-06-08,D004,0,0,2260,0.04099637178267489
2026-06-08,D005,0,0,1397,0.03281180022092865
2026-06-08,D006,0,0,275,0.0766022153874051
2026-06-08,D007,0,0,490,0.02324270777275763
2026-06-08,D008,0,0,1183,-0.00920716570125076
2026-06-15,D001,0,0,1691,-0.04439740937234822
2026-06-15,D002,0,0,1111,0.0681110574253211
2026-06-15,D003,0,0,300,-0.08234716734716732
2026-06-15,D004,0,0,2204,-0.027219911852150124
2026-06-15,D005,0,0,1382,-0.0044107238264807485
2026-06-15,D006,0,0,290,0.09289577424491217
2026-06-15,D007,0,0,504,0.03304496955204607
2026-06-15,D008,0,0,1270,0.0797016944394012
2026-06-22,D001,0,0,1834,0.09481679566406745
2026-06-22,D002,0,0,1118,3.297346266452061e-05
2026-06-22,D003,0,0,321,0.0695980871629539
2026-06-22,D004,0,0,2243,0.03157601358933942
2026-06-22,D005,0,0,1453,0.06525326304677581
2026-06-22,D006,0,0,270,-0.027209058395720596
2026-06-22,D007,0,0,497,0.011360515862152915
2026-06-22,D008,0,0,1212,-0.0420752435812161
2026-06-29,D001,0,0,1796,-0.021467100649254722
2026-06-29,D002,0,0,1146,0.047237545664927924
2026-06-29,D003,0,0,311,0.014706971305268518
2026-06-29,D004,0,0,2176,-0.027643500468990334
2026-06-29,D005,0,0,1438,0.001203264053086278
2026-06-29,D006,0,0,301,0.14676406926406926
2026-06-29,D007,0,0,486,0.003298736132340102
2026-06-29,D008,0,0,1141,-0.05859147107994439
2026-07-06,D001,0,0,1723,-0.04076408730424339
2026-07-06,D002,0,0,1182,0.02795055122560367
2026-07-06,D003,0,0,312,0.05216648316268809
2026-07-06,D004,0,0,2228,0.03205621835100118
2026-07-06,D005,0,0,1371,-0.045493037832434455
2026-07-06,D006,0,0,269,-0.11261883363477469
2026-07-06,D007,0,0,503,0.0989627014062445
2026-07-06,D008,0,0,1149,0.01289102992660659
2026-07-13,D001,0,0,1817,0.06370204305204782
2026-07-13,D002,0,0,1097,-0.07274443276939177
2026-07-13,D003,0,0,332,0.13361421442694393
2026-07-13,D004,0,0,2215,-0.011593969054762317
2026-07-13,D005,0,0,1383,0.022662554592646374
2026-07-13,D006,0,0,242,-0.052849954704793436
2026-07-13,D007,0,0,521,0.04390796292730518
2026-07-13,D008,0,0,1201,0.043887900166980034
2026-07-20,D001,0,0,1731,-0.04721879472295446
2026-07-20,D002,0,0,1153,0.055817095009937236
2026-07-20,D003,0,0,333,0.0032233186533389578
2026-07-20,D004,0,0,2236,0.023198931184897333
2026-07-20,D005,0,0,1396,0.01928685854315031
2026-07-20,D006,0,0,320,0.33061019185157114
2026-07-20,D007,0,0,514,0.01936035139398879
2026-07-20,D008,0,0,1236,0.029735009006829884
2026-07-27,D001,0,0,1753,0.013782994285074198
2026-07-27,D002,0,0,1145,0.005738549347654258
2026-07-27,D003,0,0,300,-0.04312320523582118
2026-07-27,D004,0,0,2245,0.0021904350060464603
2026-07-27,D005,0,0,1401,-0.0017300164961095593
2026-07-27,D006,0,0,294,-0.025431035467800168
2026-07-27,D007,0,0,526,0.025434081224343714
2026-07-27,D008,0,0,1208,-0.0012273105698895517
2026-08-03,D001,0,0,1760,0.012136631862365053
2026-08-03,D002,0,0,1135,0.0041655102622971205
2026-08-03,D003,0,0,333,0.130926799234619
2026-08-03,D004,0,0,2172,-0.02357552364995101
2026-08-03,D005,0,0,1400,0.0004376151519286678
2026-08-03,D006,0,0,304,0.04639772727272726
2026-08-03,D007,0,0,534,0.028290337018731727
2026-08-03,D008,0,0,1284,0.05648217810608243
2026-08-10,D001,0,0,1734,-0.0067351648155031685
2026-08-10,D002,0,0,1161,0.02965346912918764
2026-08-10,D003,0,0,321,-0.029568871456252237
2026-08-10,D004,0,0,2245,0.031908578548535925
2026-08-10,D005,0,0,1411,0.014723379129624162
2026-08-10,D006,0,0,285,-0.05775613512999822
2026-08-10,D007,0,0,504,-0.023688429934762965
2026-08-10,D008,0,0,1243,-0.012985675169334637
2026-08-17,D001,0,0,1779,0.028826288653225916
2026-08-17,D002,0,0,1042,-0.09856081545972513
2026-08-17,D003,0,0,311,-0.013464840697145592
2026-08-17,D004,0,0,2281,0.013348214437497119
2026-08-17,D005,0,0,1429,0.01226978881686814
2026-08-17,D006,0,0,292,0.07851078351078349
2026-08-17,D007,0,0,498,-0.00774050044993837
2026-08-17,D008,0,0,1212,-0.02868600968239226
2026-08-24,D001,0,0,1460,-0.17441894763108395
2026-08-24,D002,0,0,945,-0.08994021856281956
2026-08-24,D003,0,0,267,-0.11063915012190875
2026-08-24,D004,0,0,1915,-0.14618742174035038
2026-08-24,D005,0,0,1216,-0.14235631338256488
2026-08-24,D006,0,0,232,-0.1777384326138663
2026-08-24,D007,0,0,430,-0.13146455246316235
2026-08-24,D008,0,0,1076,-0.11364359584682726
