week,hospital_id,disease_id,case_count,previous_cases,growth_rate,hospital_total_cases,incidence_proportion
2026-06-01,H001,D001,190,,,1065,0.1784037558685446
2026-06-01,H001,D002,147,,,1065,0.13802816901408452
2026-06-01,H001,D003,43,,,1065,0.04037558685446009
2026-06-01,H001,D004,291,,,1065,0.27323943661971833
2026-06-01,H001,D005,178,,,1065,0.1671361502347418
2026-06-01,H001,D006,27,,,1065,0.02535211267605634
2026-06-01,H001,D007,53,,,1065,0.04976525821596244
2026-06-01,H001,D008,136,,,1065,0.12769953051643193
2026-06-01,H002,D001,144,,,879,0.16382252559726962
2026-06-01,H002,D002,94,,,879,0.10693970420932879
2026-06-01,H002,D003,32,,,879,0.03640500568828214
2026-06-01,H002,D004,246,,,879,0.27986348122866894
2026-06-01,H002,D005,168,,,879,0.19112627986348124
2026-06-01,H002,D006,32,,,879,0.03640500568828214
2026-06-01,H002,D007,45,,,879,0.051194539249146756
2026-06-01,H002,D008,118,,,879,0.1342434584755404
2026-06-01,H003,D001,259,,,1070,0.24205607476635513
2026-06-01,H003,D002,146,,,1070,0.13644859813084112
2026-06-01,H003,D003,45,,,1070,0.04205607476635514
2026-06-01,H003,D004,238,,,1070,0.22242990654205608
2026-06-01,H003,D005,156,,,1070,0.14579439252336449
2026-06-01,H003,D006,32,,,1070,0.029906542056074768
2026-06-01,H003,D007,58,,,1070,0.05420560747663551
2026-06-01,H003,D008,136,,,1070,0.12710280373831775
2026-06-01,H004,D001,223,,,1036,0.21525096525096524
2026-06-01,H004,D002,134,,,1036,0.12934362934362933
2026-06-01,H004,D003,30,,,1036,0.02895752895752896
2026-06-01,H004,D004,253,,,1036,0.24420849420849422
2026-06-01,H004,D005,159,,,1036,0.15347490347490347
2026-06-01,H004,D006,36,,,1036,0.03474903474903475
2026-06-01,H004,D007,53,,,1036,0.05115830115830116
2026-06-01,H004,D008,148,,,1036,0.14285714285714285
2026-06-01,H005,D001,215,,,936,0.2297008547008547
2026-06-01,H005,D002,114,,,936,0.12179487179487179
2026-06-01,H005,D003,27,,,936,0.028846153846153848
2026-06-01,H005,D004,260,,,936,0.2777777777777778
2026-06-01,H005,D005,95,,,936,0.1014957264957265
2026-06-01,H005,D006,21,,,936,0.022435897435897436
2026-06-01,H005,D007,55,,,936,0.05876068376068376
2026-06-01,H005,D008,149,,,936,0.15918803418803418
2026-06-01,H006,D001,155,,,754,0.20557029177718833
2026-06-01,H006,D002,117,,,754,0.15517241379310345
2026-06-01,H006,D003,35,,,754,0.046419098143236075
2026-06-01,H006,D004,155,,,754,0.20557029177718833
2026-06-01,H006,D005,109,,,754,0.14456233421750664
2026-06-01,H006,D006,43,,,754,0.05702917771883289
2026-06-01,H006,D007,41,,,754,0.054376657824933686
2026-06-01,H006,D008,99,,,754,0.1312997347480106
2026-06-01,H007,D001,125,,,668,0.18712574850299402
2026-06-01,H007,D002,87,,,668,0.13023952095808383
2026-06-01,H007,D003,20,,,668,0.029940119760479042
2026-06-01,H007,D004,171,,,668,0.2559880239520958
2026-06-01,H007,D005,123,,,668,0.18413173652694612
2026-06-01,H007,D006,19,,,668,0.02844311377245509
2026-06-01,H007,D007,34,,,668,0.05089820359281437
2026-06-01,H007,D008,89,,,668,0.13323353293413173
2026-06-01,H008,D001,178,,,784,0.22704081632653061
2026-06-01,H008,D002,103,,,784,0.13137755102040816
2026-06-01,H008,D003,20,,,784,0.025510204081632654
2026-06-01,H008,D004,194,,,784,0.24744897959183673
2026-06-01,H008,D005,139,,,784,0.17729591836734693
2026-06-01,H008,D006,19,,,784,0.02423469387755102
2026-06-01,H008,D007,42,,,784,0.05357142857142857
2026-06-01,H008,D008,89,,,784,0.11352040816326531
2026-06-01,H009,D001,127,,,614,0.20684039087947884
2026-06-01,H009,D002,99,,,614,0.16123778501628663
2026-06-01,H009,D003,21,,,614,0.03420195439739414
2026-06-01,H009,D004,134,,,614,0.2182410423452769
2026-06-01,H009,D005,94,,,614,0.15309446254071662
2026-06-01,H009,D006,14,,,614,0.02280130293159609
2026-06-01,H009,D007,39,,,614,0.06351791530944625
2026-06-01,H009,D008,86,,,614,0.14006514657980457
2026-06-01,H010,D001,214,,,986,0.21703853955375255
2026-06-01,H010,D002,113,,,986,0.11460446247464504
2026-06-01,H010,D003,30,,,986,0.030425963488843813
2026-06-01,H010,D004,240,,,986,0.2434077079107505
2026-06-01,H010,D005,154,,,986,0.15618661257606492
2026-06-01,H010,D006,26,,,986,0.02636916835699797
2026-06-01,H010,D007,62,,,986,0.06288032454361055
2026-06-01,H010,D008,147,,,986,0.14908722109533468
2026-06-08,H001,D001,183,190.0,-0.03684210526315789,1064,0.17199248120300753
2026-06-08,H001,D002,138,147.0,-0.061224489795918366,1064,0.12969924812030076
2026-06-08,H001,D003,37,43.0,-0.13953488372093023,1064,0.03477443609022556
2026-06-08,H001,D004,291,291.0,0.0,1064,0.27349624060150374
2026-06-08,H001,D005,183,178.0,0.028089887640449437,1064,0.17199248120300753
2026-06-08,H001,D006,35,27.0,0.2962962962962963,1064,0.03289473684210526
2026-06-08,H001,D007,65,53.0,0.22641509433962265,1064,0.06109022556390977
2026-06-08,H001,D008,132,136.0,-0.029411764705882353,1064,0.12406015037593984
2026-06-08,H002,D001,160,144.0,0.1111111111111111,885,0.1807909604519774
2026-06-08,H002,D002,86,94.0,-0.0851063829787234,885,0.09717514124293786
2026-06-08,H002,D003,36,32.0,0.125,885,0.04067796610169491
2026-06-08,H002,D004,261,246.0,0.06097560975609756,885,0.29491525423728815
2026-06-08,H002,D005,154,168.0,-0.08333333333333333,885,0.17401129943502824
2026-06-08,H002,D006,29,32.0,-0.09375,885,0.0327683615819209
2026-06-08,H002,D007,49,45.0,0.08888888888888889,885,0.05536723163841808
2026-06-08,H002,D008,110,118.0,-0.06779661016949153,885,0.12429378531073447
2026-06-08,H003,D001,237,259.0,-0.08494208494208494,1069,0.22170252572497662
2026-06-08,H003,D002,150,146.0,0.0273972602739726,1069,0.1403180542563143
2026-06-08,H003,D003,30,45.0,-0.3333333333333333,1069,0.02806361085126286
2026-06-08,H003,D004,258,238.0,0.08403361344537816,1069,0.24134705332086062
2026-06-08,H003,D005,157,156.0,0.00641025641025641,1069,0.146866230121609
2026-06-08,H003,D006,31,32.0,-0.03125,1069,0.028999064546304958
2026-06-08,H003,D007,62,58.0,0.06896551724137931,1069,0.057998129092609915
2026-06-08,H003,D008,144,136.0,0.058823529411764705,1069,0.13470533208606175
2026-06-08,H004,D001,199,223.0,-0.10762331838565023,1047,0.19006685768863418
2026-06-08,H004,D002,127,134.0,-0.05223880597014925,1047,0.12129894937917861
2026-06-08,H004,D003,39,30.0,0.3,1047,0.03724928366762178
2026-06-08,H004,D004,276,253.0,0.09090909090909091,1047,0.2636103151862464
2026-06-08,H004,D005,178,159.0,0.11949685534591195,1047,0.17000955109837632
