week,symptom_id,symptom_name,baseline_score,baseline_z_max,baseline_deviation_max,baseline_hospitals_elevated,baseline_hospitals_observed,anomaly_score,temporal_score,persistence_score,spatial_score,best_matching_disease_id,b8_pattern_score,objective_a_score,b8_integration_score,severity_score,severe_cases,total_cases,disease_total_cases,raw_risk_score,risk_score,strong_evidence_count,moderate_evidence_count,persistence_support,spatial_support,temporal_support,risk_alert,outbreak_signal,risk_explanation,alert_id,alert_level,alert_priority,alert_status,alert_type,recommended_action,baseline_contribution,anomaly_contribution,temporal_contribution,persistence_contribution,spatial_contribution,objective_a_contribution,severity_contribution,strong_evidence_count_explainability,moderate_evidence_count_explainability,primary_drivers,weak_or_missing_evidence,explainability_interpretation,detailed_explanation,weighted_evidence_breakdown,alert_severity
2026-06-01,S007,Persistent Cough,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D006,47.236,42.56,54.25,91.18837672643,40.0,269.0,269.0,22.9018565089645,22.9,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (91.2).",ALT-20260601-S007-GREEN-0001,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,4.72,13.68,1,2,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.9. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.9. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",severity=13.68; objective_a=4.72; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S023,Weight Loss,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D006,47.236,42.56,54.25,91.18837672643,40.0,269.0,269.0,22.9018565089645,22.9,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (91.2).",ALT-20260601-S023-GREEN-0002,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,4.72,13.68,1,2,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.9. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.9. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",severity=13.68; objective_a=4.72; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S024,Night Sweats,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D006,47.236,42.56,54.25,91.18837672643,40.0,269.0,269.0,22.9018565089645,22.9,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (91.2).",ALT-20260601-S024-GREEN-0003,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,4.72,13.68,1,2,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.9. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.9. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",severity=13.68; objective_a=4.72; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S001,Fever,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2).",ALT-20260601-S001-GREEN-0004,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,5.74,12.48,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.7. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.7. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",severity=12.48; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S002,Headache,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2).",ALT-20260601-S002-GREEN-0005,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,5.74,12.48,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.7. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.7. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",severity=12.48; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S014,Muscle Pain,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2).",ALT-20260601-S014-GREEN-0006,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,5.74,12.48,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.7. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.7. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",severity=12.48; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S017,Rash,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2).",ALT-20260601-S017-GREEN-0007,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,5.74,12.48,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.7. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.7. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",severity=12.48; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S018,Nausea,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2).",ALT-20260601-S018-GREEN-0008,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,5.74,12.48,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.7. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.7. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",severity=12.48; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S019,Vomiting,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2).",ALT-20260601-S019-GREEN-0009,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,5.74,12.48,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.7. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.7. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",severity=12.48; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
2026-06-01,S003,Fatigue,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D005,55.126000000000005,53.05,58.24,83.03071689317758,112.0,1375.0,1375.0,22.46720753397664,22.47,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.5, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (83.0).",ALT-20260601-S003-GREEN-0010,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,0.0,0.0,0.0,5.51,12.45,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 22.5. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 22.5. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D005.",severity=12.45; objective_a=5.51; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,0
