week,symptom_id,symptom_name,baseline_score,baseline_z_max,baseline_deviation_max,baseline_hospitals_elevated,baseline_hospitals_observed,anomaly_score,temporal_score,persistence_score,spatial_score,best_matching_disease_id,b8_pattern_score,objective_a_score,b8_integration_score,severity_score,severe_cases,total_cases,disease_total_cases,raw_risk_score,risk_score,strong_evidence_count,moderate_evidence_count,persistence_support,spatial_support,temporal_support,risk_alert,outbreak_signal,risk_explanation,alert_id,alert_level,alert_priority,alert_status,alert_type,recommended_action,baseline_contribution,anomaly_contribution,temporal_contribution,persistence_contribution,spatial_contribution,objective_a_contribution,severity_contribution,strong_evidence_count_explainability,moderate_evidence_count_explainability,primary_drivers,weak_or_missing_evidence,explainability_interpretation,detailed_explanation,weighted_evidence_breakdown,alert_severity
2026-08-24,S011,Chest Pain,47.11785280401506,1.2165448524514295,89.47368421052633,0,10,48.18,10.33,30.0,13.0,D006,47.236,42.56,54.25,88.67945234250843,34.0,232.0,232.0,40.31969577197852,40.32,1,4,False,False,False,YELLOW,False,"Composite outbreak-risk score is 40.3, producing a YELLOW alert. Supporting evidence: historical baseline deviation (47.1); statistical anomaly (48.2); Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (88.7).",ALT-20260824-S011-YELLOW-0325,YELLOW,WATCH,WATCH,SURVEILLANCE_WATCH,"Review the affected symptom/disease trend, verify recent clinical records, and continue enhanced surveillance.",7.07,7.23,1.55,4.5,1.95,4.72,13.3,1,4,Severity burden,Temporal acceleration; Persistence; Spatial propagation,"The composite risk score is 40.3. There are 4 evidence sources showing at least moderate abnormality, including 1 strong signal(s). The signal warrants enhanced observation but does not currently meet the criteria for an escalated outbreak alert.","Alert level: YELLOW. Composite risk score: 40.3. Primary risk drivers: Severity burden. Weaker or missing corroboration: Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",severity=13.30; anomaly=7.23; baseline=7.07; objective_a=4.72; persistence=4.50; spatial=1.95; temporal=1.55,1
2026-08-24,S027,Dehydration,60.47445077571396,1.7084670465428378,110.0,1,10,45.06,0.2,30.0,11.0,D008,48.106,42.95,55.84,75.7968771963547,38.0,1076.0,1076.0,38.1902991958103,38.19,2,4,False,False,False,YELLOW,False,"Composite outbreak-risk score is 38.2, producing a YELLOW alert. Supporting evidence: historical baseline deviation (60.5); statistical anomaly (45.1); Objective A atypical/emerging evidence (48.1); severity burden from disease D008 (75.8).",ALT-20260824-S027-YELLOW-0326,YELLOW,WATCH,WATCH,SURVEILLANCE_WATCH,"Review the affected symptom/disease trend, verify recent clinical records, and continue enhanced surveillance.",9.07,6.76,0.03,4.5,1.65,4.81,11.37,2,4,Severity burden; Historical baseline,Temporal acceleration; Persistence; Spatial propagation,"The composite risk score is 38.2. There are 4 evidence sources showing at least moderate abnormality, including 2 strong signal(s). The signal warrants enhanced observation but does not currently meet the criteria for an escalated outbreak alert.","Alert level: YELLOW. Composite risk score: 38.2. Primary risk drivers: Severity burden, Historical baseline. Weaker or missing corroboration: Temporal acceleration, Persistence, Spatial propagation. The associated disease is D008.",severity=11.37; baseline=9.07; anomaly=6.76; objective_a=4.81; persistence=4.50; spatial=1.65; temporal=0.03,1
2026-08-24,S007,Persistent Cough,29.713050561149625,1.321626008875589,25.6198347107438,0,10,39.25,13.33,30.0,3.0,D006,47.236,42.56,54.25,88.67945234250843,34.0,232.0,232.0,35.31947543554871,35.32,1,3,False,False,False,YELLOW,False,"Composite outbreak-risk score is 35.3, producing a YELLOW alert. Supporting evidence: statistical anomaly (39.2); Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (88.7).",ALT-20260824-S007-YELLOW-0327,YELLOW,WATCH,WATCH,SURVEILLANCE_WATCH,"Review the affected symptom/disease trend, verify recent clinical records, and continue enhanced surveillance.",4.46,5.89,2.0,4.5,0.45,4.72,13.3,1,3,Severity burden,Historical baseline; Temporal acceleration; Persistence; Spatial propagation,"The composite risk score is 35.3. There are 3 evidence sources showing at least moderate abnormality, including 1 strong signal(s). The signal warrants enhanced observation but does not currently meet the criteria for an escalated outbreak alert.","Alert level: YELLOW. Composite risk score: 35.3. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",severity=13.30; anomaly=5.89; objective_a=4.72; persistence=4.50; baseline=4.46; temporal=2.00; spatial=0.45,1
2026-08-24,S023,Weight Loss,17.46570956811629,0.533656859801263,28.57142857142857,0,10,37.72,1.97,30.0,0.0,D006,47.236,42.56,54.25,88.67945234250843,34.0,232.0,232.0,31.098874286593706,31.1,1,3,False,False,False,GREEN,False,"Composite outbreak-risk score is 31.1, producing a GREEN alert. Supporting evidence: statistical anomaly (37.7); Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (88.7).",ALT-20260824-S023-GREEN-0328,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,2.62,5.66,0.3,4.5,0.0,4.72,13.3,1,3,Severity burden,Historical baseline; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 31.1. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 31.1. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",severity=13.30; anomaly=5.66; objective_a=4.72; persistence=4.50; baseline=2.62; temporal=0.30; spatial=0.00,0
2026-08-24,S024,Night Sweats,4.727868391597768,0.1777897505546897,5.882352941176465,0,10,31.24,13.33,3.55,0.0,D006,47.236,42.56,54.25,88.67945234250843,34.0,232.0,232.0,25.95269811011593,25.95,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 25.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (88.7).",ALT-20260824-S024-GREEN-0329,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.71,4.69,2.0,0.53,0.0,4.72,13.3,1,2,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 25.9. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 25.9. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D006.",severity=13.30; objective_a=4.72; anomaly=4.69; temporal=2.00; baseline=0.71; persistence=0.53; spatial=0.00,0
2026-08-24,S021,Abdominal Pain,13.40261753030334,0.6310801287412773,9.615384615384617,0,10,34.42,13.33,3.55,0.0,D008,48.106,42.95,55.84,75.7968771963547,38.0,1076.0,1076.0,25.885524208998707,25.89,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 25.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (48.1); severity burden from disease D008 (75.8).",ALT-20260824-S021-GREEN-0330,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,2.01,5.16,2.0,0.53,0.0,4.81,11.37,1,2,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 25.9. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 25.9. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D008.",severity=11.37; anomaly=5.16; objective_a=4.81; baseline=2.01; temporal=2.00; persistence=0.53; spatial=0.00,0
2026-08-24,S022,Loss of Appetite,0.0,-0.0595491334175418,-0.8695652173913104,0,10,30.0,16.67,4.45,0.0,D007,47.278000000000006,45.57,49.84,87.78075462335302,38.0,430.0,430.0,25.562913193502958,25.56,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 25.6, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.3); severity burden from disease D007 (87.8).",ALT-20260824-S022-GREEN-0331,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.0,4.5,2.5,0.67,0.0,4.73,13.17,1,2,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 25.6. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 25.6. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D007.",severity=13.17; objective_a=4.73; anomaly=4.50; temporal=2.50; persistence=0.67; baseline=0.00; spatial=0.00,0
2026-08-24,S017,Rash,6.188196863771923,0.2976420573254969,4.091653027823246,0,10,32.08,16.04,4.28,0.0,D001,57.378,51.15,66.72,71.21365481174038,106.0,1460.0,1460.0,25.208077751326844,25.21,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 25.2, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (71.2).",ALT-20260824-S017-GREEN-0332,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,0.93,4.81,2.41,0.64,0.0,5.74,10.68,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 25.2. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 25.2. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",severity=10.68; objective_a=5.74; anomaly=4.81; temporal=2.41; baseline=0.93; persistence=0.64; spatial=0.00,0
2026-08-24,S010,Breathlessness,9.22301283736766,0.3070649807683754,13.684210526315784,0,10,32.15,13.33,3.55,0.0,D005,55.126000000000005,53.05,58.24,63.52770795619247,70.0,1216.0,1216.0,23.77970811903402,23.78,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 23.8, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).",ALT-20260824-S010-GREEN-0333,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,1.38,4.82,2.0,0.53,0.0,5.51,9.53,2,2,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 23.8. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 23.8. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D005.",severity=9.53; objective_a=5.51; anomaly=4.82; temporal=2.00; baseline=1.38; persistence=0.53; spatial=0.00,0
2026-08-24,S025,Bleeding,10.742179570171004,0.3372137010395284,17.07317073170732,0,10,27.55,12.81,3.42,0.0,D001,46.728,44.36,50.28,71.21365481174038,106.0,1460.0,1460.0,23.53317515728671,23.53,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 23.5, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (46.7); severity burden from disease D001 (71.2).",ALT-20260824-S025-GREEN-0334,GREEN,ROUTINE,ROUTINE,ROUTINE_SURVEILLANCE,Continue routine surveillance and periodic review.,1.61,4.13,1.92,0.51,0.0,4.67,10.68,1,2,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,The composite risk score is 23.5. Current evidence does not indicate a significant outbreak-level concern. Routine surveillance should continue.,"Alert level: GREEN. Composite risk score: 23.5. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",severity=10.68; objective_a=4.67; anomaly=4.13; temporal=1.92; baseline=1.61; persistence=0.51; spatial=0.00,0
