hospital_id,total_cases,severe_cases,diseases_observed,severe_diseases,average_severity_score,maximum_severity_score,severe_case_proportion,hospital_severity_score,hospital_severity_alert,week
H001,954,69,8,8,61.15485021431565,79.56128998611575,0.07232704402515723,32.65723270440252,GREEN,2026-08-24
H002,742,47,8,8,44.303609927371134,75.93830697530319,0.06334231805929919,31.08490566037736,GREEN,2026-08-24
H003,954,35,8,8,24.170321292433524,29.761711086376845,0.03668763102725367,26.42033542976939,GREEN,2026-08-24
H004,863,51,8,8,45.42219975087656,81.18845942940021,0.05909617612977984,30.341830822711472,GREEN,2026-08-24
H005,820,54,8,7,38.57896687479677,72.83245775915526,0.06585365853658537,31.524390243902438,GREEN,2026-08-24
H006,647,36,8,7,38.9885483348507,87.78075462335302,0.05564142194744977,29.73724884080371,GREEN,2026-08-24
H007,538,29,8,8,53.73483060105772,88.67945234250843,0.05390334572490706,29.433085501858734,GREEN,2026-08-24
H008,657,31,8,7,30.353998843106016,46.11902920437565,0.0471841704718417,28.2572298325723,GREEN,2026-08-24
H009,529,36,8,8,48.6449910239644,91.01999228393323,0.06805293005671077,31.90926275992438,GREEN,2026-08-24
H010,837,42,8,7,24.38487544094442,32.62993003290902,0.05017921146953405,28.781362007168457,GREEN,2026-08-24
