symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,inference_category,signal_type,objective_a_score,objective_a_category_boost,objective_a_component_score,objective_a_confidence,objective_a_alert,b2_current_cases,b2_growth_rate,b2_incidence_proportion,b2_hospitals_observed,b2_component_symptoms_observed,b2_incidence_score,b3_max_z_score,b3_max_deviation_percent,b3_elevated_hospitals,b3_abnormal_hospitals,b3_baseline_score,b5_growth_acceleration,b5_change_points,b5_exponential_growth,b5_temporal_score,b6_max_consecutive_weeks,b6_cross_hospital_consecutive_weeks,b6_elevated_hospitals,b6_persistence_score,b7_affected_hospitals,b7_newly_affected_hospitals,b7_propagation_edges,b7_affected_regions,b7_spatial_score,epidemiological_evidence_score,b8_integration_score,b8_alert,b8_integration_signal,objective_a_explanation,b8_explanation
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_ATYPICAL,ATYPICAL_KNOWN_DISEASE_EMERGENCE,51.15,10.0,61.15,97.78,MODERATE,6436.0,-14.8886,0.854692,10,6,40.0,0.629,5.45,0,0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.93,66.72,YELLOW,True,The pattern is associated with Dengue but contains atypical symptom characteristics. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 51.1/100.,Objective A identified an atypical clinical presentation. Objective A evidence score is 61.1. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 5.5%. combined epidemiological corroboration score is 13.9. the pattern warrants continued surveillance.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,WIDESPREAD_KNOWN_DISEASE_PATTERN,53.05,0.0,53.05,90.95,LOW,6436.0,-14.8886,0.854692,10,7,40.0,0.307,13.68,0,0,9.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.55,0.0,0.0,0.0,0.0,0.0,12.97,58.24,YELLOW,True,"The pattern is consistent with the expected presentation of COVID-19. The pattern is observed across multiple hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 53.0/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 53.0. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.31. with a maximum deviation of 13.7%. combined epidemiological corroboration score is 13.0. the pattern warrants continued surveillance.
Dry Cough + Fever + Loss of Smell,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,51.57,0.0,51.57,92.7,LOW,6436.0,-14.8886,0.854692,10,3,40.0,0.3,4.08,0,0,6.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,56.24,YELLOW,True,"The pattern is consistent with the expected presentation of COVID-19. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 51.6/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 51.6. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 11.7. the pattern warrants continued surveillance.
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,WIDESPREAD_KNOWN_DISEASE_PATTERN,51.42,0.0,51.42,89.42,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.3,4.08,0,0,6.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,56.09,YELLOW,True,"The pattern is consistent with the expected presentation of COVID-19. The pattern is observed across multiple hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 51.4/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 51.4. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 11.7. the pattern warrants continued surveillance.
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,D008,Acute Gastroenteritis,,KNOWN_DISEASE_EXPECTED,WIDESPREAD_KNOWN_DISEASE_PATTERN,42.95,0.0,42.95,88.24,LOW,6436.0,-14.8886,0.854692,10,6,40.0,1.708,110.0,1,1,64.32,0.0,0.0,0.0,0.0,12.0,11.0,2.0,30.0,1.0,1.0,1.0,1.0,11.0,32.23,55.84,GREEN,False,The pattern is consistent with the expected presentation of Acute Gastroenteritis. The pattern is observed across multiple hospitals. Clinical evidence is currently limited. Final emerging-signal score: 43.0/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 43.0. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=1.71. with a maximum deviation of 110.0%. 1 hospital-level baseline observation(s) are elevated. persistence reaches 12 consecutive abnormal weeks. 1 hospital(s) show spatial evidence. 1 hospital(s) are newly affected. 1 propagation edge(s) are present. combined epidemiological corroboration score is 32.2. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,48.99,0.0,48.99,93.83,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.629,5.45,0,0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.93,54.56,YELLOW,True,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 49.0/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 49.0. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 5.5%. combined epidemiological corroboration score is 13.9. the pattern warrants continued surveillance.
Chest Pain + Fatigue + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,42.56,0.0,42.56,94.49,LOW,1522.0,-16.418,0.20343,10,5,40.0,1.322,89.47,0,2,51.07,0.0,0.0,0.0,0.0,10.0,6.0,3.0,30.0,1.0,1.0,2.0,1.0,13.0,29.22,54.25,GREEN,False,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 42.6/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 42.6. the strongest component symptom has 1522 current cases. with -16.4% recent growth. baseline evidence reaches z=1.32. with a maximum deviation of 89.5%. persistence reaches 10 consecutive abnormal weeks. 1 hospital(s) show spatial evidence. 1 hospital(s) are newly affected. 2 propagation edge(s) are present. combined epidemiological corroboration score is 29.2. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,48.56,0.0,48.56,91.34,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,53.49,YELLOW,True,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 48.6/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 48.6. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the pattern warrants continued surveillance.
Fever + Joint Pain + Muscle Pain + Nausea + Rash,D001,Dengue,,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EMERGING_EVIDENCE,47.31,0.0,47.31,93.14,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.629,5.45,0,0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.93,52.88,YELLOW,True,Available evidence is insufficient for a strong emerging-disease interpretation. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 47.3/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 47.3. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 5.5%. combined epidemiological corroboration score is 13.9. the pattern warrants continued surveillance.
Chest Pain + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,40.65,0.0,40.65,91.06,LOW,6436.0,-14.8886,0.854692,10,5,40.0,1.322,89.47,0,2,51.07,0.0,0.0,0.0,0.0,10.0,6.0,3.0,30.0,1.0,1.0,2.0,1.0,13.0,29.22,52.34,GREEN,False,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 40.6/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 40.6. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=1.32. with a maximum deviation of 89.5%. persistence reaches 10 consecutive abnormal weeks. 1 hospital(s) show spatial evidence. 1 hospital(s) are newly affected. 2 propagation edge(s) are present. combined epidemiological corroboration score is 29.2. the available evidence does not currently support an elevated integrated surveillance alert.
