week,symptom_id,symptom_name,hospitals_observed,hospitals_increasing,average_growth_rate,spread_proportion,cross_hospital_alert,average_z_score,maximum_z_score,baseline_anomalous_hospitals,baseline_strong_hospitals,anomaly_score,anomaly_alert,potential_outbreak,persistent_hospitals,strong_anomaly_hospitals,max_hospital_consecutive_weeks,cross_hospital_consecutive_weeks,persistence_score,cross_hospital_persistence_alert,persistent_outbreak_signal,outbreak_risk_score,outbreak_risk_level,risk_interpretation,final_outbreak_signal
2026-06-01,S001,Fever,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S002,Headache,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S003,Fatigue,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S004,Chills,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S005,Sweating,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S006,Dry Cough,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S007,Persistent Cough,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S008,Sore Throat,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S009,Runny Nose,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S010,Breathlessness,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S012,Loss of Taste,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S013,Loss of Smell,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S014,Muscle Pain,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S015,Joint Pain,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S016,Retro-orbital Pain,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
2026-06-01,S017,Rash,10,0,,1.0,GREEN,,,0,0,30.0,GREEN,False,0,0,0,0,0.0,GREEN,False,32.5,GREEN,No significant persistent outbreak signal.,False
