week,symptom_id,symptom_name,baseline_score,baseline_z_max,baseline_deviation_max,baseline_hospitals_elevated,baseline_hospitals_observed,anomaly_score,temporal_score,persistence_score,spatial_score,best_matching_disease_id,b8_pattern_score,objective_a_score,b8_integration_score,severity_score,severe_cases,total_cases,disease_total_cases,raw_risk_score,risk_score,strong_evidence_count,moderate_evidence_count,persistence_support,spatial_support,temporal_support,risk_alert,outbreak_signal,risk_explanation
2026-08-24,S011,Chest Pain,47.11785280401506,1.2165448524514295,89.47368421052633,0,10,48.18,10.33,30.0,13.0,D006,47.236000000000004,42.56,54.25,88.67945234250843,34.0,232.0,232.0,40.319695771978516,40.32,1,4,False,False,False,YELLOW,False,"Composite outbreak-risk score is 40.3, producing a YELLOW alert. Supporting evidence: historical baseline deviation (47.1); statistical anomaly (48.2); Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (88.7)."
2026-08-24,S027,Dehydration,60.47445077571396,1.7084670465428378,110.0,1,10,45.06,0.2,30.0,11.0,D008,48.106,42.95,55.84,75.7968771963547,38.0,1076.0,1076.0,38.1902991958103,38.19,2,4,False,False,False,YELLOW,False,"Composite outbreak-risk score is 38.2, producing a YELLOW alert. Supporting evidence: historical baseline deviation (60.5); statistical anomaly (45.1); Objective A atypical/emerging evidence (48.1); severity burden from disease D008 (75.8)."
2026-08-24,S007,Persistent Cough,29.713050561149622,1.321626008875589,25.6198347107438,0,10,39.25,13.33,30.0,3.0,D006,47.236000000000004,42.56,54.25,88.67945234250843,34.0,232.0,232.0,35.31947543554871,35.32,1,3,False,False,False,YELLOW,False,"Composite outbreak-risk score is 35.3, producing a YELLOW alert. Supporting evidence: statistical anomaly (39.2); Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (88.7)."
2026-08-24,S023,Weight Loss,17.46570956811629,0.533656859801263,28.57142857142857,0,10,37.72,1.97,30.0,0.0,D006,47.236000000000004,42.56,54.25,88.67945234250843,34.0,232.0,232.0,31.098874286593706,31.1,1,3,False,False,False,GREEN,False,"Composite outbreak-risk score is 31.1, producing a GREEN alert. Supporting evidence: statistical anomaly (37.7); Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (88.7)."
2026-08-24,S024,Night Sweats,4.7278683915977675,0.1777897505546897,5.882352941176465,0,10,31.24,13.33,3.55,0.0,D006,47.236000000000004,42.56,54.25,88.67945234250843,34.0,232.0,232.0,25.95269811011593,25.95,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 25.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (88.7)."
2026-08-24,S021,Abdominal Pain,13.40261753030334,0.6310801287412773,9.615384615384617,0,10,34.42,13.33,3.55,0.0,D008,48.106,42.95,55.84,75.7968771963547,38.0,1076.0,1076.0,25.885524208998707,25.89,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 25.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (48.1); severity burden from disease D008 (75.8)."
2026-08-24,S022,Loss of Appetite,0.0,-0.0595491334175418,-0.8695652173913104,0,10,30.0,16.67,4.45,0.0,D007,47.278000000000006,45.57,49.84,87.78075462335302,38.0,430.0,430.0,25.562913193502954,25.56,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 25.6, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.3); severity burden from disease D007 (87.8)."
2026-08-24,S017,Rash,6.188196863771923,0.2976420573254969,4.091653027823246,0,10,32.08,16.04,4.28,0.0,D001,57.378,51.15,66.72,71.21365481174038,106.0,1460.0,1460.0,25.208077751326844,25.21,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 25.2, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (71.2)."
2026-08-24,S010,Breathlessness,9.223012837367659,0.3070649807683754,13.684210526315784,0,10,32.15,13.33,3.55,0.0,D005,55.126000000000005,53.05,58.24,63.52770795619247,70.0,1216.0,1216.0,23.77970811903402,23.78,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 23.8, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5)."
2026-08-24,S025,Bleeding,10.742179570171004,0.3372137010395284,17.07317073170732,0,10,27.55,12.81,3.42,0.0,D001,46.728,44.36,50.28,71.21365481174038,106.0,1460.0,1460.0,23.53317515728671,23.53,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 23.5, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (46.7); severity burden from disease D001 (71.2)."
2026-08-24,S018,Nausea,12.110463346110052,0.6285610169353201,5.448154657293498,0,10,34.4,0.0,0.0,0.0,D001,57.378,51.15,66.72,71.21365481174038,106.0,1460.0,1460.0,23.396417723677565,23.4,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 23.4, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (71.2)."
2026-08-24,S026,Anaemia,22.11220056985009,0.5855555636027701,41.17647058823529,0,10,28.1,0.0,0.0,0.0,D002,41.852000000000004,39.22,45.8,71.56419602064199,68.0,945.0,945.0,22.45165948857381,22.45,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.4, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (41.9); severity burden from disease D002 (71.6)."
2026-08-24,S016,Retro-orbital Pain,0.0,-0.4013083330419837,-3.281027104136943,0,10,30.0,11.98,3.19,0.0,D001,46.812,44.84,49.77,71.21365481174038,106.0,1460.0,1460.0,22.138748221761055,22.14,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.1, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (46.8); severity burden from disease D001 (71.2)."
2026-08-24,S004,Chills,0.0,-0.4199263064023151,-3.321554770318025,0,10,30.0,11.78,3.14,0.0,D002,41.852000000000004,39.22,45.8,71.56419602064199,68.0,945.0,945.0,21.6578294030963,21.66,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 21.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (41.9); severity burden from disease D002 (71.6)."
