week,symptom_id,symptom_name,affected_hospitals,total_hospitals,total_cases,hospital_coverage,affected_regions,geographic_cases,affected_cities,newly_affected_hospitals,propagation_edges,source_hospitals,target_hospitals,same_city_edges,same_region_edges,cross_region_edges,spatial_propagation_score,spatial_alert,spatial_propagation_signal
2026-06-01,S001,Fever,0,10,7534,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S002,Headache,0,10,3932,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S003,Fatigue,0,10,1822,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S004,Chills,0,10,1154,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S005,Sweating,0,10,1154,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S006,Dry Cough,0,10,3557,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S007,Persistent Cough,0,10,269,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S008,Sore Throat,0,10,2293,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S009,Runny Nose,0,10,1348,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S010,Breathlessness,0,10,105,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S011,Chest Pain,0,9,20,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S012,Loss of Taste,0,10,276,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S013,Loss of Smell,0,10,301,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S014,Muscle Pain,0,10,3532,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S015,Joint Pain,0,10,1489,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S016,Retro-orbital Pain,0,10,1209,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S017,Rash,0,10,496,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
