week,symptom_id,symptom_name,source_hospital_id,source_hospital_name,source_city,source_region,target_hospital_id,target_hospital_name,target_city,target_region,geographic_relation,target_growth_rate
2026-06-15,S007,Persistent Cough,H001,AIIMS New Delhi,New Delhi,Delhi,H008,King Edward Memorial Hospital,Mumbai,Maharashtra,cross_region,28.57142857142857
2026-06-15,S007,Persistent Cough,H001,AIIMS New Delhi,New Delhi,Delhi,H010,SMS Medical College Hospital,Jaipur,Rajasthan,cross_region,86.36363636363636
2026-06-15,S007,Persistent Cough,H005,KGMU Lucknow,Lucknow,Uttar Pradesh,H008,King Edward Memorial Hospital,Mumbai,Maharashtra,cross_region,28.57142857142857
2026-06-15,S007,Persistent Cough,H005,KGMU Lucknow,Lucknow,Uttar Pradesh,H010,SMS Medical College Hospital,Jaipur,Rajasthan,cross_region,86.36363636363636
2026-06-15,S007,Persistent Cough,H007,Safdarjung Hospital,New Delhi,Delhi,H008,King Edward Memorial Hospital,Mumbai,Maharashtra,cross_region,28.57142857142857
2026-06-15,S007,Persistent Cough,H007,Safdarjung Hospital,New Delhi,Delhi,H010,SMS Medical College Hospital,Jaipur,Rajasthan,cross_region,86.36363636363636
2026-06-15,S007,Persistent Cough,H008,King Edward Memorial Hospital,Mumbai,Maharashtra,H010,SMS Medical College Hospital,Jaipur,Rajasthan,cross_region,86.36363636363636
2026-06-15,S007,Persistent Cough,H009,Sree Chitra Tirunal Institute,Thiruvananthapuram,Kerala,H008,King Edward Memorial Hospital,Mumbai,Maharashtra,cross_region,28.57142857142857
2026-06-15,S007,Persistent Cough,H009,Sree Chitra Tirunal Institute,Thiruvananthapuram,Kerala,H010,SMS Medical College Hospital,Jaipur,Rajasthan,cross_region,86.36363636363636
2026-06-15,S011,Chest Pain,H003,JIPMER Puducherry,Puducherry,Puducherry,H005,KGMU Lucknow,Lucknow,Uttar Pradesh,cross_region,50.0
2026-06-15,S011,Chest Pain,H003,JIPMER Puducherry,Puducherry,Puducherry,H010,SMS Medical College Hospital,Jaipur,Rajasthan,cross_region,500.0
2026-06-15,S011,Chest Pain,H007,Safdarjung Hospital,New Delhi,Delhi,H003,JIPMER Puducherry,Puducherry,Puducherry,cross_region,33.33333333333333
2026-06-15,S011,Chest Pain,H007,Safdarjung Hospital,New Delhi,Delhi,H005,KGMU Lucknow,Lucknow,Uttar Pradesh,cross_region,50.0
2026-06-15,S011,Chest Pain,H007,Safdarjung Hospital,New Delhi,Delhi,H010,SMS Medical College Hospital,Jaipur,Rajasthan,cross_region,500.0
2026-06-15,S017,Rash,H004,CMC Vellore,Vellore,Tamil Nadu,H002,PGIMER Chandigarh,Chandigarh,Chandigarh,cross_region,30.23255813953488
2026-06-15,S017,Rash,H004,CMC Vellore,Vellore,Tamil Nadu,H008,King Edward Memorial Hospital,Mumbai,Maharashtra,cross_region,38.46153846153847
