week,hospital_id,symptom_id,symptom_name,current_cases,historical_weeks,historical_mean,historical_std,deviation_from_baseline,deviation_percent,z_score,baseline_alert
2026-06-01,H001,S001,Fever,922.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S002,Headache,489.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S003,Fatigue,214.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S004,Chills,147.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S005,Sweating,147.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S006,Dry Cough,469.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S007,Persistent Cough,27.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S008,Sore Throat,289.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S009,Runny Nose,179.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S010,Breathlessness,18.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S011,Chest Pain,3.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S012,Loss of Taste,34.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S013,Loss of Smell,38.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S014,Muscle Pain,422.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S015,Joint Pain,175.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S016,Retro-orbital Pain,118.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S017,Rash,56.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S018,Nausea,136.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S019,Vomiting,183.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S020,Diarrhoea,143.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S021,Abdominal Pain,97.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S022,Loss of Appetite,41.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S023,Weight Loss,5.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S024,Night Sweats,8.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S025,Bleeding,4.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S026,Anaemia,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H001,S027,Dehydration,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S001,Fever,745.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S002,Headache,355.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S003,Fatigue,189.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S004,Chills,94.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S005,Sweating,94.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S006,Dry Cough,414.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S007,Persistent Cough,32.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S008,Sore Throat,284.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S009,Runny Nose,158.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S010,Breathlessness,14.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S011,Chest Pain,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S012,Loss of Taste,38.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S013,Loss of Smell,44.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S014,Muscle Pain,333.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S015,Joint Pain,120.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S016,Retro-orbital Pain,93.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S017,Rash,40.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S018,Nausea,89.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S019,Vomiting,139.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S020,Diarrhoea,123.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S021,Abdominal Pain,83.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S022,Loss of Appetite,29.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S023,Weight Loss,3.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S024,Night Sweats,9.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S025,Bleeding,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S026,Anaemia,1.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H002,S027,Dehydration,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S001,Fever,920.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S002,Headache,487.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S003,Fatigue,209.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S004,Chills,146.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S005,Sweating,146.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S006,Dry Cough,394.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S007,Persistent Cough,32.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S008,Sore Throat,251.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S009,Runny Nose,137.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S010,Breathlessness,6.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S011,Chest Pain,0.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S012,Loss of Taste,19.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S013,Loss of Smell,21.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S014,Muscle Pain,456.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S015,Joint Pain,215.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S016,Retro-orbital Pain,159.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S017,Rash,77.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S018,Nausea,164.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S019,Vomiting,204.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S020,Diarrhoea,143.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S021,Abdominal Pain,96.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S022,Loss of Appetite,44.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S023,Weight Loss,1.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S024,Night Sweats,6.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S025,Bleeding,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S026,Anaemia,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H003,S027,Dehydration,5.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S001,Fever,884.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S002,Headache,455.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S003,Fatigue,226.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S004,Chills,134.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S005,Sweating,134.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S006,Dry Cough,412.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S007,Persistent Cough,36.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S008,Sore Throat,261.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S009,Runny Nose,159.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S010,Breathlessness,10.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S011,Chest Pain,4.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S012,Loss of Taste,34.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S013,Loss of Smell,34.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S014,Muscle Pain,413.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S015,Joint Pain,167.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S016,Retro-orbital Pain,161.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S017,Rash,51.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S018,Nausea,138.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S019,Vomiting,194.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S020,Diarrhoea,150.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S021,Abdominal Pain,106.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S022,Loss of Appetite,36.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S023,Weight Loss,6.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S024,Night Sweats,12.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S025,Bleeding,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S026,Anaemia,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H004,S027,Dehydration,5.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S001,Fever,786.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S002,Headache,462.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S003,Fatigue,166.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S004,Chills,114.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S005,Sweating,114.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S006,Dry Cough,355.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S007,Persistent Cough,21.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S008,Sore Throat,230.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S009,Runny Nose,160.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S010,Breathlessness,6.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S011,Chest Pain,1.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S012,Loss of Taste,14.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S013,Loss of Smell,15.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S014,Muscle Pain,412.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S015,Joint Pain,161.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S016,Retro-orbital Pain,147.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S017,Rash,63.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S018,Nausea,167.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S019,Vomiting,197.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S020,Diarrhoea,160.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S021,Abdominal Pain,108.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S022,Loss of Appetite,34.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S023,Weight Loss,5.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S024,Night Sweats,11.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S025,Bleeding,6.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S026,Anaemia,3.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H005,S027,Dehydration,4.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S001,Fever,637.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S002,Headache,334.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S003,Fatigue,163.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S004,Chills,117.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S005,Sweating,117.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S006,Dry Cough,264.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S007,Persistent Cough,43.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S008,Sore Throat,179.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S009,Runny Nose,96.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S010,Breathlessness,8.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S011,Chest Pain,4.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S012,Loss of Taste,21.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S013,Loss of Smell,23.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S014,Muscle Pain,280.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S015,Joint Pain,139.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S016,Retro-orbital Pain,103.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S017,Rash,44.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S018,Nausea,100.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S019,Vomiting,138.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S020,Diarrhoea,105.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S021,Abdominal Pain,79.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S022,Loss of Appetite,26.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S023,Weight Loss,7.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S024,Night Sweats,11.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S025,Bleeding,1.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S026,Anaemia,3.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H006,S027,Dehydration,1.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S001,Fever,576.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S002,Headache,292.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S003,Fatigue,154.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S004,Chills,87.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S005,Sweating,87.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S006,Dry Cough,294.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S007,Persistent Cough,19.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S008,Sore Throat,187.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S009,Runny Nose,107.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S010,Breathlessness,9.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S011,Chest Pain,2.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S012,Loss of Taste,23.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S013,Loss of Smell,27.0,0,,,,,,INSUFFICIENT_HISTORY
2026-06-01,H007,S014,Muscle Pain,244.0,0,,,,,,INSUFFICIENT_HISTORY
