week,symptom_id,symptom_name,current_cases,hospitals_observed,persistent_hospitals,maximum_consecutive_abnormal_weeks,maximum_total_abnormal_weeks,average_z_score,maximum_z_score,average_deviation_percent,elevated_hospitals,b5_signal,temporal_acceleration_score,cross_hospital_persistent,cross_hospital_consecutive_weeks,persistence_score,persistence_alert,persistent_outbreak_signal
2026-06-01,S001,Fever,7534,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S002,Headache,3932,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S003,Fatigue,1822,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S004,Chills,1154,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S005,Sweating,1154,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S006,Dry Cough,3557,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S007,Persistent Cough,269,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S008,Sore Throat,2293,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S009,Runny Nose,1348,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S010,Breathlessness,105,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S011,Chest Pain,20,9,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S012,Loss of Taste,276,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S013,Loss of Smell,301,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S014,Muscle Pain,3532,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S015,Joint Pain,1489,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S016,Retro-orbital Pain,1209,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S017,Rash,496,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S018,Nausea,1214,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S019,Vomiting,1622,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S020,Diarrhoea,1266,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S021,Abdominal Pain,872,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S022,Loss of Appetite,316,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S023,Weight Loss,40,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S024,Night Sweats,91,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S025,Bleeding,26,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S026,Anaemia,21,10,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-01,S027,Dehydration,30,9,0,0,0,0.0,0.0,0.0,0,False,0.0,False,0,0.0,GREEN,False
2026-06-08,S027,Dehydration,50,9,0,1,1,,inf,inf,7,True,40.0,False,0,40.67,GREEN,False
2026-06-08,S011,Chest Pain,19,8,0,1,1,,inf,inf,3,False,9.52,False,0,32.54,GREEN,False
2026-06-08,S026,Anaemia,26,10,0,1,1,,inf,59.16666666666667,6,False,23.67,False,0,26.1,GREEN,False
2026-06-08,S025,Bleeding,31,10,0,1,1,,inf,53.333333333333336,6,False,21.33,False,0,24.02,GREEN,False
2026-06-08,S023,Weight Loss,39,10,0,1,1,,inf,45.76190476190476,4,False,18.3,False,0,21.32,GREEN,False
2026-06-08,S010,Breathlessness,99,10,0,1,1,,inf,13.274531024531026,5,False,5.31,False,0,9.73,GREEN,False
2026-06-08,S022,Loss of Appetite,336,10,0,1,1,,inf,9.025441585541737,6,False,3.61,False,0,8.22,GREEN,False
2026-06-08,S007,Persistent Cough,275,10,0,1,1,,inf,7.66022153874051,5,False,3.06,False,0,7.73,GREEN,False
2026-06-08,S012,Loss of Taste,266,10,0,1,1,,inf,7.454150372443546,4,False,2.98,False,0,7.66,GREEN,False
2026-06-08,S009,Runny Nose,1442,10,0,1,1,,inf,7.433199562312143,6,False,2.97,False,0,7.65,GREEN,False
2026-06-08,S024,Night Sweats,93,10,0,1,1,,inf,7.425282234105765,5,False,2.97,False,0,7.65,GREEN,False
2026-06-08,S015,Joint Pain,1535,10,0,1,1,,inf,4.963545979283408,7,False,1.99,False,0,6.77,GREEN,False
2026-06-08,S013,Loss of Smell,282,10,0,1,1,,inf,4.863604626926266,5,False,1.95,False,0,6.74,GREEN,False
2026-06-08,S006,Dry Cough,3657,10,0,1,1,,inf,2.8395203814515138,8,False,1.14,False,0,6.01,GREEN,False
2026-06-08,S008,Sore Throat,2334,10,0,1,1,,inf,1.8332869201699793,7,False,0.73,False,0,5.65,GREEN,False
2026-06-08,S014,Muscle Pain,3517,10,0,1,1,,inf,1.1722434440023082,4,False,0.47,False,0,5.42,GREEN,False
2026-06-08,S001,Fever,7528,10,0,1,1,,inf,-0.09816031554579961,6,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S002,Headache,3771,10,0,1,1,,inf,-3.622514244961122,2,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S003,Fatigue,1719,10,0,1,1,,inf,-5.694691014139049,3,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S004,Chills,1068,10,0,1,1,,inf,-7.8767744415798715,2,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S005,Sweating,1068,10,0,1,1,,inf,-7.8767744415798715,2,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S016,Retro-orbital Pain,1153,10,0,1,1,,inf,-2.8405395202927735,2,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S017,Rash,475,10,0,1,1,,inf,-1.7410110098404528,5,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S018,Nausea,1169,10,0,1,1,,inf,-0.8447562224660039,3,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S019,Vomiting,1576,10,0,1,1,,inf,-2.623033909442523,3,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S020,Diarrhoea,1259,10,0,1,1,,inf,-0.2434133087369287,3,False,0.0,False,0,5.0,GREEN,False
2026-06-08,S021,Abdominal Pain,861,10,0,1,1,,inf,-0.8139916001347537,4,False,0.0,False,0,5.0,GREEN,False
2026-06-15,S025,Bleeding,27,7,7,2,2,inf,inf,79.95464852607711,6,False,28.62,True,1,62.62,YELLOW,True
2026-06-15,S023,Weight Loss,52,10,10,2,2,inf,inf,55.4978354978355,7,True,39.04,True,1,59.29,YELLOW,True
2026-06-15,S011,Chest Pain,27,10,3,2,2,,inf,80.33333333333334,5,True,39.9,True,1,48.22,YELLOW,True
2026-06-15,S026,Anaemia,23,8,8,2,2,inf,inf,30.833333333333336,4,False,10.5,True,1,45.51,YELLOW,True
2026-06-15,S027,Dehydration,47,10,9,2,2,1.077496047522358,12.020815280171307,31.007936507936506,4,False,5.22,True,1,41.64,YELLOW,True
2026-06-15,S024,Night Sweats,108,10,5,2,2,inf,inf,28.271712477359266,7,False,21.1,True,1,35.19,YELLOW,True
2026-06-15,S021,Abdominal Pain,973,10,3,2,2,,inf,13.05145106509587,9,False,10.34,True,1,23.52,GREEN,False
2026-06-15,S007,Persistent Cough,290,10,3,2,2,0.8903117199485167,6.010407640085654,11.604884606167571,5,False,4.2,True,1,21.52,GREEN,False
2026-06-15,S018,Nausea,1263,10,2,2,2,0.7538228782504979,2.45803785841038,6.603944518222605,8,False,6.05,True,1,18.26,GREEN,False
2026-06-15,S020,Diarrhoea,1346,10,2,2,2,,inf,6.94493885220213,8,False,5.1,True,1,18.1,GREEN,False
2026-06-15,S019,Vomiting,1678,10,2,2,2,inf,inf,5.256443363137483,8,False,5.55,True,1,17.79,GREEN,False
2026-06-15,S022,Loss of Appetite,343,10,2,2,2,inf,inf,5.55733662805002,5,False,1.43,True,1,16.77,GREEN,False
2026-06-15,S006,Dry Cough,3586,10,2,2,2,-8.771559251107274,6.363961030678928,-0.9210784655089898,7,False,0.0,True,1,15.0,GREEN,False
2026-06-15,S008,Sore Throat,2314,10,2,2,2,0.08463814963514385,4.00693842672377,-0.22532214515267368,5,False,0.0,True,1,15.0,GREEN,False
2026-06-15,S017,Rash,483,10,1,2,2,inf,inf,-0.17566521485419412,6,False,2.43,False,0,13.15,GREEN,False
2026-06-15,S003,Fatigue,1737,10,1,2,2,-4.422832626514468,3.792663644546028,-2.2648542552280224,3,False,2.37,False,0,13.13,GREEN,False
2026-06-15,S012,Loss of Taste,262,10,1,2,2,-1.338901078218147,4.00693842672377,-1.9881114292773503,4,False,1.6,False,0,12.93,GREEN,False
2026-06-15,S013,Loss of Smell,256,10,1,2,2,-0.798412052108041,3.5355339059327373,-12.102746648815515,2,False,0.0,False,0,12.5,GREEN,False
2026-06-15,S004,Chills,1111,10,0,1,1,0.5606571100608002,12.020815280171307,1.0520121483885827,5,False,7.13,False,0,7.16,GREEN,False
2026-06-15,S005,Sweating,1111,10,0,1,1,0.5606571100608002,12.020815280171307,1.0520121483885827,5,False,7.13,False,0,7.16,GREEN,False
2026-06-15,S002,Headache,3759,10,0,1,1,-1.0751325433252148,1.4404027024170412,-2.342981349504551,4,False,0.98,False,0,5.26,GREEN,False
2026-06-15,S016,Retro-orbital Pain,1137,10,0,1,1,-inf,7.424621202458749,-3.3878842371686453,3,False,0.36,False,0,5.1,GREEN,False
2026-06-15,S009,Runny Nose,1371,10,0,1,1,-inf,1.414213562373095,-2.039422599819756,4,False,0.0,False,0,5.0,GREEN,False
2026-06-15,S010,Breathlessness,92,10,0,0,1,-0.8673843182554982,0.7071067811865475,-10.414552240927954,4,False,3.51,False,0,0.94,GREEN,False
2026-06-15,S001,Fever,7416,10,0,0,1,-inf,0.4714045207910317,-1.6028433403334268,1,False,0.0,False,0,0.0,GREEN,False
2026-06-15,S014,Muscle Pain,3384,10,0,0,1,-0.8666065270729224,0.6527139518645054,-3.7728883795387453,3,False,0.0,False,0,0.0,GREEN,False
2026-06-15,S015,Joint Pain,1408,10,0,0,1,-4.93318147622673,0.6023502210107626,-6.495242980658388,2,False,0.0,False,0,0.0,GREEN,False
2026-06-22,S027,Dehydration,56,10,10,3,3,0.7496734226936045,4.618802153517005,39.67647139507417,6,True,40.59,True,2,60.74,ORANGE,True
2026-06-22,S011,Chest Pain,26,9,9,3,3,1.0299095636308362,6.350852961085884,47.261904761904766,7,False,12.22,True,2,55.07,ORANGE,True
2026-06-22,S023,Weight Loss,46,10,10,3,3,0.36842069762508234,3.7097041340118704,26.020185696656284,5,False,11.44,True,2,49.56,YELLOW,True
2026-06-22,S025,Bleeding,35,10,4,3,3,0.32755976150148614,2.400396792595916,36.57142857142857,4,False,5.4,True,2,35.58,YELLOW,True
2026-06-22,S026,Anaemia,20,7,2,3,3,0.782582162212066,6.350852961085883,24.353741496598637,2,False,9.95,True,2,30.88,GREEN,False
2026-06-22,S012,Loss of Taste,321,10,1,3,3,1.071310068187497,2.8368325730679014,22.97569940734025,8,False,21.15,False,0,28.88,GREEN,False
2026-06-22,S024,Night Sweats,102,10,3,3,3,0.39899874611880015,5.484827557301445,17.057326539454376,4,False,2.79,True,2,27.51,GREEN,False
2026-06-22,S013,Loss of Smell,307,10,1,3,3,0.41918856406053245,2.155263624321299,10.462652309860285,6,False,21.62,False,0,25.88,GREEN,False
2026-06-22,S006,Dry Cough,3696,10,2,3,3,0.8475586494287126,6.992342750670703,3.1506422670040113,7,False,3.55,True,2,21.73,GREEN,False
2026-06-22,S008,Sore Throat,2369,10,1,3,3,0.5672021273554381,3.4837455331342047,3.1049087301499183,4,False,2.91,False,0,19.05,GREEN,False
2026-06-22,S007,Persistent Cough,270,10,1,3,3,-1.4009453247325403,3.042434922296655,1.3369256825278273,5,False,0.0,False,0,17.83,GREEN,False
2026-06-22,S022,Loss of Appetite,315,10,1,3,3,-0.06545012177514539,5.455447255899807,-4.1705272879795405,3,False,0.0,False,0,17.5,GREEN,False
2026-06-22,S019,Vomiting,1637,10,2,2,2,0.43945409255089257,5.220368976638746,1.4864673999571174,5,False,0.0,True,2,15.37,GREEN,False
2026-06-22,S021,Abdominal Pain,906,10,2,2,2,0.8926777646637802,12.701705922171769,0.4359410479223683,4,False,0.0,True,2,15.11,GREEN,False
2026-06-22,S020,Diarrhoea,1275,10,2,2,2,0.404782393294996,11.547005383792532,-0.9822936953089159,5,False,0.0,True,2,15.0,GREEN,False
2026-06-22,S009,Runny Nose,1402,10,1,2,2,-0.09645402033341685,3.1641594084218894,1.850822278174104,5,False,4.45,False,0,14.15,GREEN,False
2026-06-22,S004,Chills,1118,10,1,2,2,-0.36417428071783275,5.405899027195886,0.3345212681929642,5,False,0.0,False,0,12.58,GREEN,False
2026-06-22,S005,Sweating,1118,10,1,2,2,-0.36417428071783275,5.405899027195886,0.3345212681929642,5,False,0.0,False,0,12.58,GREEN,False
2026-06-22,S018,Nausea,1177,10,1,2,2,0.3512720781528901,6.379052256590136,-2.432330340083357,2,False,0.0,False,0,12.5,GREEN,False
2026-06-22,S010,Breathlessness,99,10,0,1,2,0.16777037514148174,4.041451884327381,4.244337453230375,4,False,12.58,False,0,9.42,GREEN,False
2026-06-22,S016,Retro-orbital Pain,1226,10,0,1,2,2.400470662779204,9.23760430703397,6.051815646653486,7,False,6.69,False,0,8.3,GREEN,False
2026-06-22,S015,Joint Pain,1529,10,0,1,2,0.46967517200814723,2.2994340472328445,3.1446623830065787,5,False,8.44,False,0,8.04,GREEN,False
2026-06-22,S003,Fatigue,1845,10,0,1,2,0.8901895903901369,5.2915026221291805,4.774544688169383,9,False,4.76,False,0,7.46,GREEN,False
2026-06-22,S017,Rash,495,10,0,1,2,0.482491454142695,4.138119259730432,4.231035949601879,4,False,5.27,False,0,7.46,GREEN,False
2026-06-22,S014,Muscle Pain,3571,10,0,1,2,0.8200021047922468,3.412500738508723,3.119890911690276,6,False,5.37,False,0,7.21,GREEN,False
2026-06-22,S001,Fever,7712,10,0,1,2,4.440453260937323,19.19689645055521,2.971534909230673,9,False,3.34,False,0,6.63,GREEN,False
2026-06-22,S002,Headache,3903,10,0,1,2,0.7233444615201535,4.444444444444445,2.019552800991395,7,False,2.78,False,0,6.25,GREEN,False
2026-06-29,S023,Weight Loss,47,10,10,4,4,0.17362933667567276,3.6742346141747673,18.231499617177366,7,True,45.94,True,3,61.81,ORANGE,True
2026-06-29,S025,Bleeding,39,10,4,4,4,1.185201979406902,9.5,51.305109922756984,7,True,41.32,True,3,53.84,YELLOW,True
2026-06-29,S011,Chest Pain,25,10,10,4,4,0.3257083658230587,2.8722813232690143,23.774891774891778,4,False,2.93,True,3,51.73,YELLOW,True
2026-06-29,S027,Dehydration,49,10,10,4,4,0.09124595952001666,1.891624771144944,8.25890483785221,4,False,5.52,True,3,48.54,YELLOW,True
2026-06-29,S012,Loss of Taste,279,10,10,4,4,0.02353425314170393,2.110674535892834,3.4639497467978018,4,False,0.0,True,1,45.87,YELLOW,True
2026-06-29,S013,Loss of Smell,289,10,10,4,4,-0.16093856672738643,0.8751577343945898,2.9787859631483746,5,False,0.0,True,1,45.74,YELLOW,True
2026-06-29,S026,Anaemia,24,10,5,4,4,0.22187477506488285,2.449489742783178,20.897435897435898,5,False,25.52,True,3,44.53,YELLOW,True
2026-06-29,S024,Night Sweats,109,10,3,4,4,0.5471975218473031,2.598076211353316,15.251325383516326,6,False,7.02,True,3,33.18,GREEN,False
2026-06-29,S008,Sore Throat,2365,10,4,4,4,0.3548736410774063,1.837551562455011,2.287496340091294,6,False,0.1,True,1,30.6,GREEN,False
2026-06-29,S007,Persistent Cough,301,10,2,4,4,0.45962557136110566,1.1825341841884291,9.089813870364736,9,False,11.09,True,1,30.23,GREEN,False
