week,hospital_id,symptom_id,symptom_name,case_count,previous_cases,growth_rate,hospital_total_cases,incidence_proportion
2026-06-01,H001,S001,Fever,922,,,1065,0.8657276995305164
2026-06-01,H001,S002,Headache,489,,,1065,0.4591549295774648
2026-06-01,H001,S003,Fatigue,214,,,1065,0.20093896713615023
2026-06-01,H001,S004,Chills,147,,,1065,0.13802816901408452
2026-06-01,H001,S005,Sweating,147,,,1065,0.13802816901408452
2026-06-01,H001,S006,Dry Cough,469,,,1065,0.4403755868544601
2026-06-01,H001,S007,Persistent Cough,27,,,1065,0.02535211267605634
2026-06-01,H001,S008,Sore Throat,289,,,1065,0.27136150234741785
2026-06-01,H001,S009,Runny Nose,179,,,1065,0.168075117370892
2026-06-01,H001,S010,Breathlessness,18,,,1065,0.016901408450704224
2026-06-01,H001,S011,Chest Pain,3,,,1065,0.0028169014084507044
2026-06-01,H001,S012,Loss of Taste,34,,,1065,0.03192488262910798
2026-06-01,H001,S013,Loss of Smell,38,,,1065,0.03568075117370892
2026-06-01,H001,S014,Muscle Pain,422,,,1065,0.39624413145539905
2026-06-01,H001,S015,Joint Pain,175,,,1065,0.1643192488262911
2026-06-01,H001,S016,Retro-orbital Pain,118,,,1065,0.1107981220657277
2026-06-01,H001,S017,Rash,56,,,1065,0.05258215962441314
2026-06-01,H001,S018,Nausea,136,,,1065,0.12769953051643193
2026-06-01,H001,S019,Vomiting,183,,,1065,0.17183098591549295
2026-06-01,H001,S020,Diarrhoea,143,,,1065,0.13427230046948357
2026-06-01,H001,S021,Abdominal Pain,97,,,1065,0.09107981220657277
2026-06-01,H001,S022,Loss of Appetite,41,,,1065,0.038497652582159626
2026-06-01,H001,S023,Weight Loss,5,,,1065,0.004694835680751174
2026-06-01,H001,S024,Night Sweats,8,,,1065,0.007511737089201878
2026-06-01,H001,S025,Bleeding,4,,,1065,0.003755868544600939
2026-06-01,H001,S026,Anaemia,2,,,1065,0.0018779342723004694
2026-06-01,H001,S027,Dehydration,2,,,1065,0.0018779342723004694
2026-06-01,H002,S001,Fever,745,,,879,0.8475540386803185
2026-06-01,H002,S002,Headache,355,,,879,0.40386803185437997
2026-06-01,H002,S003,Fatigue,189,,,879,0.2150170648464164
2026-06-01,H002,S004,Chills,94,,,879,0.10693970420932879
2026-06-01,H002,S005,Sweating,94,,,879,0.10693970420932879
2026-06-01,H002,S006,Dry Cough,414,,,879,0.4709897610921502
2026-06-01,H002,S007,Persistent Cough,32,,,879,0.03640500568828214
2026-06-01,H002,S008,Sore Throat,284,,,879,0.323094425483504
2026-06-01,H002,S009,Runny Nose,158,,,879,0.17974971558589306
2026-06-01,H002,S010,Breathlessness,14,,,879,0.015927189988623434
2026-06-01,H002,S011,Chest Pain,2,,,879,0.0022753128555176336
2026-06-01,H002,S012,Loss of Taste,38,,,879,0.04323094425483504
2026-06-01,H002,S013,Loss of Smell,44,,,879,0.05005688282138794
2026-06-01,H002,S014,Muscle Pain,333,,,879,0.378839590443686
2026-06-01,H002,S015,Joint Pain,120,,,879,0.13651877133105803
2026-06-01,H002,S016,Retro-orbital Pain,93,,,879,0.10580204778156997
2026-06-01,H002,S017,Rash,40,,,879,0.04550625711035267
2026-06-01,H002,S018,Nausea,89,,,879,0.1012514220705347
