week,symptom_id,symptom_name,current_cases,average_growth_rate,median_growth_rate,average_growth_acceleration,maximum_growth_acceleration,hospitals_with_change_point,maximum_change_point_strength,hospitals_with_exponential_growth,average_exponential_growth_rate,minimum_doubling_time_weeks,average_growth_fit_r2,recent_change_point_hospitals,recent_change_point_strength,temporal_acceleration_score,temporal_alert,temporal_acceleration_signal
2026-06-01,S001,Fever,7534,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S002,Headache,3932,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S003,Fatigue,1822,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S004,Chills,1154,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S005,Sweating,1154,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S006,Dry Cough,3557,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S007,Persistent Cough,269,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S008,Sore Throat,2293,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S009,Runny Nose,1348,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S010,Breathlessness,105,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S011,Chest Pain,20,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S012,Loss of Taste,276,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S013,Loss of Smell,301,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S014,Muscle Pain,3532,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S015,Joint Pain,1489,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S016,Retro-orbital Pain,1209,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S017,Rash,496,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S018,Nausea,1214,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S019,Vomiting,1622,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S020,Diarrhoea,1266,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S021,Abdominal Pain,872,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S022,Loss of Appetite,316,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S023,Weight Loss,40,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S024,Night Sweats,91,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S025,Bleeding,26,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S026,Anaemia,21,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-01,S027,Dehydration,30,,,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S027,Dehydration,50,211.25,100.0,,,0,0.0,0,,,,0,0.0,40.0,YELLOW,True
2026-06-08,S026,Anaemia,26,59.16666666666667,50.0,,,0,0.0,0,,,,0,0.0,23.67,GREEN,False
2026-06-08,S025,Bleeding,31,53.333333333333336,29.166666666666664,,,0,0.0,0,,,,0,0.0,21.33,GREEN,False
2026-06-08,S023,Weight Loss,39,45.76190476190476,0.0,,,0,0.0,0,,,,0,0.0,18.3,GREEN,False
2026-06-08,S011,Chest Pain,19,23.809523809523814,0.0,,,0,0.0,0,,,,0,0.0,9.52,GREEN,False
2026-06-08,S010,Breathlessness,99,13.274531024531026,-0.5555555555555554,,,0,0.0,0,,,,0,0.0,5.31,GREEN,False
2026-06-08,S022,Loss of Appetite,336,9.025441585541737,4.612937433722163,,,0,0.0,0,,,,0,0.0,3.61,GREEN,False
2026-06-08,S007,Persistent Cough,275,7.66022153874051,3.7006578947368416,,,0,0.0,0,,,,0,0.0,3.06,GREEN,False
2026-06-08,S012,Loss of Taste,266,7.454150372443546,-10.338680926916222,,,0,0.0,0,,,,0,0.0,2.98,GREEN,False
2026-06-08,S009,Runny Nose,1442,7.433199562312143,7.246636414298225,,,0,0.0,0,,,,0,0.0,2.97,GREEN,False
2026-06-08,S024,Night Sweats,93,7.425282234105765,4.545454545454546,,,0,0.0,0,,,,0,0.0,2.97,GREEN,False
2026-06-08,S015,Joint Pain,1535,4.963545979283408,3.497672450275074,,,0,0.0,0,,,,0,0.0,1.99,GREEN,False
2026-06-08,S013,Loss of Smell,282,4.863604626926266,-1.7801857585139325,,,0,0.0,0,,,,0,0.0,1.95,GREEN,False
2026-06-08,S006,Dry Cough,3657,2.8395203814515138,1.659809603892009,,,0,0.0,0,,,,0,0.0,1.14,GREEN,False
2026-06-08,S008,Sore Throat,2334,1.8332869201699793,4.80979308572163,,,0,0.0,0,,,,0,0.0,0.73,GREEN,False
2026-06-08,S014,Muscle Pain,3517,1.1722434440023082,-3.23778157740725,,,0,0.0,0,,,,0,0.0,0.47,GREEN,False
2026-06-08,S001,Fever,7528,-0.09816031554579961,0.2033365301897121,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S002,Headache,3771,-3.622514244961122,-5.430560629537715,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S003,Fatigue,1719,-5.694691014139049,-7.385569716729475,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S004,Chills,1068,-7.8767744415798715,-4.910790873220106,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S005,Sweating,1068,-7.8767744415798715,-4.910790873220106,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S016,Retro-orbital Pain,1153,-2.8405395202927735,-3.5525321239606953,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S017,Rash,475,-1.7410110098404528,1.5625,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S018,Nausea,1169,-0.8447562224660039,-8.294520547945206,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S019,Vomiting,1576,-2.623033909442523,-3.570127504553734,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S020,Diarrhoea,1259,-0.2434133087369287,-1.0309278350515465,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-08,S021,Abdominal Pain,861,-0.8139916001347537,0.0,,,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-15,S011,Chest Pain,27,53.333333333333336,16.666666666666664,61.904761904761905,500.0,0,0.0,0,,,,0,0.0,39.9,YELLOW,True
2026-06-15,S023,Weight Loss,52,75.38888888888889,100.0,29.62698412698412,285.7142857142857,0,0.0,0,,,,0,0.0,39.04,YELLOW,True
2026-06-15,S025,Bleeding,27,70.47619047619047,66.66666666666666,1.4285714285714266,300.0,0,0.0,0,,,,0,0.0,28.62,GREEN,False
2026-06-15,S024,Night Sweats,108,33.33050283050283,38.18181818181819,25.905220596397065,206.66666666666669,4,100.0,0,,,,0,0.0,21.1,GREEN,False
2026-06-15,S026,Anaemia,23,26.25,33.33333333333333,-41.458333333333336,133.33333333333331,0,0.0,0,,,,0,0.0,10.5,GREEN,False
2026-06-15,S021,Abdominal Pain,973,14.423737808133495,16.821946169772257,15.237729408268248,50.973828362751064,4,100.0,0,,,,0,0.0,10.34,GREEN,False
2026-06-15,S004,Chills,1111,6.811105742532111,-0.6171025565677343,14.68788018411198,73.23076923076923,3,100.0,0,,,,0,0.0,7.13,GREEN,False
2026-06-15,S005,Sweating,1111,6.811105742532111,-0.6171025565677343,14.68788018411198,73.23076923076923,3,100.0,0,,,,0,0.0,7.13,GREEN,False
2026-06-15,S018,Nausea,1263,8.281300198742391,10.740469208211145,9.126056421208396,35.46698872785829,3,70.93,0,,,,0,0.0,6.05,GREEN,False
2026-06-15,S019,Vomiting,1678,6.797697898567111,6.156383856120467,9.420731808009634,32.44135412277005,1,64.88,0,,,,0,0.0,5.55,GREEN,False
2026-06-15,S027,Dehydration,47,13.05952380952381,-24.285714285714285,-197.00892857142856,325.0,0,0.0,0,,,,0,0.0,5.22,GREEN,False
2026-06-15,S020,Diarrhoea,1346,7.1751697814208,10.191433686819998,7.418583090157729,21.00922409115573,0,0.0,0,,,,0,0.0,5.1,GREEN,False
2026-06-15,S007,Persistent Cough,290,9.289577424491217,6.89655172413793,1.6293558857507064,101.74825174825175,2,100.0,0,,,,0,0.0,4.2,GREEN,False
2026-06-15,S010,Breathlessness,92,8.771561771561773,-6.25,-4.502969252969252,221.42857142857144,2,100.0,0,,,,0,0.0,3.51,GREEN,False
2026-06-15,S017,Rash,483,2.7240158527226073,0.25917065390749616,4.465026862563059,63.24430286694437,3,100.0,0,,,,0,0.0,2.43,GREEN,False
2026-06-15,S003,Fatigue,1737,0.9449992436733913,-0.6728553415365885,6.6396902578124415,42.108408023900985,1,84.22,0,,,,0,0.0,2.37,GREEN,False
2026-06-15,S012,Loss of Taste,262,3.9890239265239273,10.476190476190476,-3.4651264459196165,94.78260869565217,4,100.0,0,,,,0,0.0,1.6,GREEN,False
2026-06-15,S022,Loss of Appetite,343,3.5712889419461953,0.0657894736842104,-5.454152643595543,60.82375478927203,2,100.0,0,,,,0,0.0,1.43,GREEN,False
2026-06-15,S002,Headache,3759,-0.35601220394008887,-2.2597412404349577,3.2665020410210333,16.532529795714037,0,0.0,0,,,,0,0.0,0.98,GREEN,False
2026-06-15,S016,Retro-orbital Pain,1137,-1.6271815982616915,-1.3626298756600237,1.2133579220310822,24.913733609385783,0,0.0,0,,,,0,0.0,0.36,GREEN,False
2026-06-15,S001,Fever,7416,-1.534280452465339,-1.0793923058074002,-1.4361201369195393,6.886657101865136,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-15,S006,Dry Cough,3586,-2.1117877457589893,-1.0833681683226686,-4.9513081272105035,14.958708708708707,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-15,S008,Sore Throat,2314,-0.6977750130982194,-3.425684485006519,-2.531061933268198,32.93380614657211,1,65.87,0,,,,0,0.0,0.0,GREEN,False
2026-06-15,S009,Runny Nose,1371,-5.184409161991153,-4.229811647542759,-12.617608724303295,11.486817602665884,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-15,S013,Loss of Smell,256,-5.790842884889375,-1.4705882352941175,-10.654447511815638,77.77777777777777,2,100.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-15,S014,Muscle Pain,3384,-4.123955185728261,-3.678094844401958,-5.296198629730569,6.908900692097215,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-15,S015,Joint Pain,1408,-8.480247785226624,-9.205449722691103,-13.443793764510033,15.469862363550071,0,0.0,0,,,,0,0.0,0.0,GREEN,False
2026-06-22,S027,Dehydration,56,63.583333333333336,12.5,50.523809523809526,375.0,1,100.0,0,,,,0,0.0,40.59,YELLOW,True
2026-06-22,S013,Loss of Smell,307,28.398214814913104,18.26923076923077,34.18905769980248,187.74193548387098,4,100.0,0,,,,0,0.0,21.62,GREEN,False
2026-06-22,S012,Loss of Taste,321,31.930045529183463,16.666666666666664,27.941021602659532,156.66666666666666,4,100.0,0,,,,0,0.0,21.15,GREEN,False
2026-06-22,S010,Breathlessness,99,21.729097699685934,11.11111111111111,12.957535928124162,191.66666666666666,2,100.0,0,,,,0,0.0,12.58,GREEN,False
2026-06-22,S011,Chest Pain,26,30.555555555555557,0.0,-28.703703703703702,150.0,0,0.0,0,,,,0,0.0,12.22,GREEN,False
2026-06-22,S023,Weight Loss,46,28.611111111111114,-16.666666666666664,-46.77777777777778,410.0,0,0.0,0,,,,0,0.0,11.44,GREEN,False
2026-06-22,S026,Anaemia,20,20.952380952380956,-60.0,5.238095238095241,233.33333333333331,0,0.0,0,,,,0,0.0,9.95,GREEN,False
2026-06-22,S015,Joint Pain,1529,8.420521603607645,8.031442241968557,16.90076938883427,42.5706771860618,3,85.14,0,,,,0,0.0,8.44,GREEN,False
2026-06-22,S016,Retro-orbital Pain,1226,8.86023964298835,9.441176470588236,10.487421241250042,22.90990990990991,0,0.0,0,,,,0,0.0,6.69,GREEN,False
2026-06-22,S025,Bleeding,35,13.5,-20.0,-40.83333333333333,375.0,0,0.0,0,,,,0,0.0,5.4,GREEN,False
2026-06-22,S014,Muscle Pain,3571,5.898234910941948,5.095481501150646,10.02219009667021,30.132565022986334,1,60.27,0,,,,0,0.0,5.37,GREEN,False
2026-06-22,S017,Rash,495,8.700569582922524,-0.26610644257703064,5.976553730199919,98.13519813519815,3,100.0,0,,,,0,0.0,5.27,GREEN,False
