week,hospital_id,case_count
2026-06-01,H001,1065
2026-06-01,H002,879
2026-06-01,H003,1070
2026-06-01,H004,1036
2026-06-01,H005,936
2026-06-01,H006,754
2026-06-01,H007,668
2026-06-01,H008,784
2026-06-01,H009,614
2026-06-01,H010,986
2026-06-08,H001,1064
2026-06-08,H002,885
2026-06-08,H003,1069
2026-06-08,H004,1047
2026-06-08,H005,939
2026-06-08,H006,745
2026-06-08,H007,672
2026-06-08,H008,749
2026-06-08,H009,627
2026-06-08,H010,971
2026-06-15,H001,1062
2026-06-15,H002,900
2026-06-15,H003,1061
2026-06-15,H004,1036
2026-06-15,H005,925
2026-06-15,H006,745
2026-06-15,H007,665
2026-06-15,H008,762
2026-06-15,H009,624
2026-06-15,H010,972
2026-06-22,H001,1068
2026-06-22,H002,888
2026-06-22,H003,1095
2026-06-22,H004,1022
2026-06-22,H005,946
2026-06-22,H006,772
2026-06-22,H007,655
2026-06-22,H008,791
2026-06-22,H009,676
2026-06-22,H010,1035
2026-06-29,H001,1084
2026-06-29,H002,863
2026-06-29,H003,1055
2026-06-29,H004,994
2026-06-29,H005,933
2026-06-29,H006,759
2026-06-29,H007,663
2026-06-29,H008,798
2026-06-29,H009,634
2026-06-29,H010,1012
2026-07-06,H001,1050
2026-07-06,H002,859
2026-07-06,H003,1075
2026-07-06,H004,970
2026-07-06,H005,944
2026-07-06,H006,765
2026-07-06,H007,658
2026-07-06,H008,801
2026-07-06,H009,615
2026-07-06,H010,1000
2026-07-13,H001,1087
2026-07-13,H002,886
2026-07-13,H003,1063
2026-07-13,H004,1041
2026-07-13,H005,961
2026-07-13,H006,735
2026-07-13,H007,669
2026-07-13,H008,771
2026-07-13,H009,632
2026-07-13,H010,963
2026-07-20,H001,1118
2026-07-20,H002,872
2026-07-20,H003,1085
2026-07-20,H004,1041
2026-07-20,H005,953
2026-07-20,H006,755
2026-07-20,H007,668
2026-07-20,H008,777
2026-07-20,H009,664
2026-07-20,H010,986
2026-07-27,H001,1105
2026-07-27,H002,904
2026-07-27,H003,1076
2026-07-27,H004,1006
2026-07-27,H005,959
2026-07-27,H006,762
2026-07-27,H007,663
2026-07-27,H008,814
2026-07-27,H009,606
2026-07-27,H010,977
2026-08-03,H001,1131
2026-08-03,H002,875
2026-08-03,H003,1071
2026-08-03,H004,983
2026-08-03,H005,960
2026-08-03,H006,760
2026-08-03,H007,662
2026-08-03,H008,818
2026-08-03,H009,641
2026-08-03,H010,1021
2026-08-10,H001,1090
2026-08-10,H002,915
2026-08-10,H003,1080
2026-08-10,H004,1020
2026-08-10,H005,980
2026-08-10,H006,757
2026-08-10,H007,669
2026-08-10,H008,780
2026-08-10,H009,646
2026-08-10,H010,967
2026-08-17,H001,1091
2026-08-17,H002,875
2026-08-17,H003,1106
2026-08-17,H004,1002
2026-08-17,H005,975
2026-08-17,H006,741
2026-08-17,H007,656
2026-08-17,H008,768
2026-08-17,H009,609
2026-08-17,H010,1021
2026-08-24,H001,954
2026-08-24,H002,742
2026-08-24,H003,954
2026-08-24,H004,863
2026-08-24,H005,820
2026-08-24,H006,647
2026-08-24,H007,538
2026-08-24,H008,657
2026-08-24,H009,529
2026-08-24,H010,837
