hospital_id,treatment_id,availability_status,configuration_type,availability_note
H001,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T003,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T004,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T005,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T006,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T007,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T008,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T009,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T010,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T011,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T012,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T013,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T014,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H001,T015,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T003,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T004,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T005,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T006,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T007,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T008,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T009,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T010,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T011,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T012,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T013,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T014,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H002,T015,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T003,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T004,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T005,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T006,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T007,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T008,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T009,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T010,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T011,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T012,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T013,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T014,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H003,T015,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
