mapping_id,disease_id,complication_id,frequency,severity_id
DCM001,D001,C001,Rare,SV003
DCM002,D001,C002,Rare,SV003
DCM003,D001,C003 ,Occasional,SV002
DCM004,D002,C009 ,Occasional,SV003
DCM005,D002,C010,Common,SV002
DCM006,D002,C015 ,Rare,SV003
DCM007,D003,C014,Common,SV002
DCM008,D003,C013,Rare,SV003
DCM009,D004,C005,Common,SV002
DCM010,D004,C004 ,Rare,SV003
DCM011,D004,C006 ,Rare,SV003
DCM012,D005,C004,Common,SV003
DCM013,D005,C006,Common,SV003
DCM014,D005,C007,Occasional,SV003
DCM015,D005,C015,Rare,SV003
DCM016,D006,C011 ,Common,SV002
DCM017,D006,C005,Occasional,SV002
DCM018,D006,C006 ,Rare,SV003
DCM019,D007,C007,Occasional,SV003
DCM020,D007,C008,Rare,SV003
DCM021,D007,C012 ,Rare,SV003
DCM022,D008,C003 ,Common,SV002
DCM023,D008,C009,Rare,SV003
